pathway	individual label	individual uri	inferred_type
IKK_complex_recruitment_mediated_by_RIP1	RIP1:TRIF:activated TLR4	<http://model.geneontology.org/-1192915751>	<http://purl.obolibrary.org/obo/GO_1990234>
IKK_complex_recruitment_mediated_by_RIP1	RIP1 ubiqutin ligases	<http://model.geneontology.org/-1853661416>	<http://purl.obolibrary.org/obo/GO_1990234>
Respiratory_electron_transport	ATPase:ATP	<http://model.geneontology.org/-2075630482>	<http://purl.obolibrary.org/obo/GO_1902495>
Respiratory_electron_transport		<http://model.geneontology.org/1812857715>	<http://purl.obolibrary.org/obo/GO_0072592>
Respiratory_electron_transport	Succinate dehydrogenase complex (reduced)	<http://model.geneontology.org/-1232417120>	<http://purl.obolibrary.org/obo/GO_0045257>
Respiratory_electron_transport	ETF:FADH2	<http://model.geneontology.org/-535240452>	<http://purl.obolibrary.org/obo/GO_1902494>
Respiratory_electron_transport	Complex I	<http://model.geneontology.org/584704860>	<http://purl.obolibrary.org/obo/GO_0030964>
Respiratory_electron_transport	Respiratory electron transport	<http://model.geneontology.org/1915830713>	<http://purl.obolibrary.org/obo/GO_0046443>
Respiratory_electron_transport	Respiratory electron transport	<http://model.geneontology.org/1915830713>	<http://purl.obolibrary.org/obo/GO_0072592>
Respiratory_electron_transport	Respiratory electron transport	<http://model.geneontology.org/1915830713>	<http://purl.obolibrary.org/obo/GO_0006746>
Respiratory_electron_transport	Respiratory electron transport	<http://model.geneontology.org/1915830713>	<http://purl.obolibrary.org/obo/GO_0006734>
Respiratory_electron_transport	Transfer of electrons through the succinate dehydrogenase complex	<http://model.geneontology.org/-982846239>	<http://purl.obolibrary.org/obo/GO_0009055>
Respiratory_electron_transport		<http://model.geneontology.org/1558097163>	<http://purl.obolibrary.org/obo/GO_0006734>
Respiratory_electron_transport	UCP dimer	<http://model.geneontology.org/-407049559>	<http://purl.obolibrary.org/obo/GO_1902495>
Respiratory_electron_transport	Complex IV	<http://model.geneontology.org/-515961657>	<http://purl.obolibrary.org/obo/GO_1902494>
Respiratory_electron_transport	Complex IV	<http://model.geneontology.org/-515961657>	<http://purl.obolibrary.org/obo/GO_1902495>
Respiratory_electron_transport	SDH complex (ox.)	<http://model.geneontology.org/2110514950>	<http://purl.obolibrary.org/obo/GO_0045257>
Respiratory_electron_transport	ETF:FAD	<http://model.geneontology.org/-2142145633>	<http://purl.obolibrary.org/obo/GO_1902494>
Respiratory_electron_transport	NADH enters the respiratory chain at Complex I	<http://model.geneontology.org/-982846240>	<http://purl.obolibrary.org/obo/GO_0009055>
Respiratory_electron_transport	Complex III	<http://model.geneontology.org/-493455990>	<http://purl.obolibrary.org/obo/GO_1902494>
DAG_and_IP3_signaling	ITPKA/B/C	<http://model.geneontology.org/-1250594263>	<http://purl.obolibrary.org/obo/GO_0061695>
DAG_and_IP3_signaling	Exocytosis of Insulin	<http://model.geneontology.org/-982846487>	<http://purl.obolibrary.org/obo/GO_0044877>
DAG_and_IP3_signaling	INPP5A/B	<http://model.geneontology.org/-958051684>	<http://purl.obolibrary.org/obo/GO_1903293>
DAG_and_IP3_signaling	ITPR:I(1,4,5)P3 tetramer	<http://model.geneontology.org/-897147320>	<http://purl.obolibrary.org/obo/GO_0034703>
DAG_and_IP3_signaling	PKC-delta/epsilon	<http://model.geneontology.org/1041881658>	<http://purl.obolibrary.org/obo/GO_1902554>
DAG_and_IP3_signaling	INPP5(4)	<http://model.geneontology.org/395288252>	<http://purl.obolibrary.org/obo/GO_1903293>
DAG_and_IP3_signaling	ITPR:I(1,4,5)P3 tetramer	<http://model.geneontology.org/-1205904244>	<http://purl.obolibrary.org/obo/GO_0034703>
DAG_and_IP3_signaling	PLD	<http://model.geneontology.org/-298818156>	<http://purl.obolibrary.org/obo/GO_1902494>
DAG_and_IP3_signaling	ITPR:I(1,4,5)P3 tetramer	<http://model.geneontology.org/1646878437>	<http://purl.obolibrary.org/obo/GO_0034703>
Zinc_efflux_and_compartmentalization_by_the_SLC30_family	SLC30A3-like Protein	<http://model.geneontology.org/-802237676>	<http://purl.obolibrary.org/obo/GO_1902495>
Zinc_efflux_and_compartmentalization_by_the_SLC30_family	KIF5B-like proteins	<http://model.geneontology.org/1959889729>	<http://purl.obolibrary.org/obo/GO_1902494>
Collagen_biosynthesis_and_modifying_enzymes	PLOD3:Fe2+ dimer:Lysyl hydroxylated collagen propeptides	<http://model.geneontology.org/1427028050>	<http://purl.obolibrary.org/obo/GO_1990234>
Collagen_biosynthesis_and_modifying_enzymes	COLGALT1,COLGALT2:Lysyl hydroxylated collagen propeptides	<http://model.geneontology.org/696253609>	<http://purl.obolibrary.org/obo/GO_1990234>
Collagen_biosynthesis_and_modifying_enzymes	Procollagen N-proteinases	<http://model.geneontology.org/-719027734>	<http://purl.obolibrary.org/obo/GO_1905369>
Collagen_biosynthesis_and_modifying_enzymes	Prolyl 4-hydroxylases	<http://model.geneontology.org/1754523179>	<http://purl.obolibrary.org/obo/GO_0016222>
Collagen_biosynthesis_and_modifying_enzymes	P4HB:Collagen propeptides	<http://model.geneontology.org/1448155353>	<http://purl.obolibrary.org/obo/GO_0016222>
Collagen_biosynthesis_and_modifying_enzymes	COLGALT1,COLGALT2:Lysyl hydroxylated collagen propeptides	<http://model.geneontology.org/-1772647779>	<http://purl.obolibrary.org/obo/GO_1990234>
Collagen_biosynthesis_and_modifying_enzymes	LEPRE1:PPIB:CRTAP	<http://model.geneontology.org/-1506871885>	<http://purl.obolibrary.org/obo/GO_1902494>
Collagen_biosynthesis_and_modifying_enzymes	Prolyl 3-hydroxylases:Fe2+:4-Hyp collagen propeptides	<http://model.geneontology.org/-1579591338>	<http://purl.obolibrary.org/obo/GO_1902494>
Collagen_biosynthesis_and_modifying_enzymes	Lysyl hydroxylases	<http://model.geneontology.org/452307509>	<http://purl.obolibrary.org/obo/GO_1902494>
Collagen_biosynthesis_and_modifying_enzymes	PLOD3:Fe2+ dimer:Galactosyl-hydroxylysyl collagen propeptides	<http://model.geneontology.org/1020289329>	<http://purl.obolibrary.org/obo/GO_1990234>
TNFR1-induced_NFkappaB_signaling_pathway	TNF-alpha:TNFR1:TRADD:K63polyUb-RIPK1:BIRC2,3,4	<http://model.geneontology.org/-1796589574>	<http://purl.obolibrary.org/obo/GO_1902494>
TNFR1-induced_NFkappaB_signaling_pathway	RIPK1 deubiquitinases	<http://model.geneontology.org/-1414223369>	<http://purl.obolibrary.org/obo/GO_1902494>
TNFR1-induced_NFkappaB_signaling_pathway	TNF-alpha:TNFR1:TRADD:RIP1:TRAF2:BIRC2/3	<http://model.geneontology.org/867221718>	<http://purl.obolibrary.org/obo/GO_1990234>
TNFR1-induced_NFkappaB_signaling_pathway	TNF-alpha:TNFR1:TRADD:RIP1:TRAF2:BIRC2/3	<http://model.geneontology.org/1170087504>	<http://purl.obolibrary.org/obo/GO_1990234>
PI5P_Regulates_TP53_Acetylation	PIP4K2 dimers	<http://model.geneontology.org/-560915657>	<http://purl.obolibrary.org/obo/GO_0061695>
PI5P_Regulates_TP53_Acetylation	ING2:EP300:p-S15,S20-TP53 Tetramer	<http://model.geneontology.org/-159854235>	<http://purl.obolibrary.org/obo/GO_1902493>
PI5P_Regulates_TP53_Acetylation	ING2:EP300:p-S15,S20-TP53 Tetramer	<http://model.geneontology.org/178499681>	<http://purl.obolibrary.org/obo/GO_1902493>
Fusion_of_the_Influenza_Virion_to_the_Host_Cell_Endosome	Influenza A Viral Particle Docked At The Endocytic Vesicle Membrane With An Open Pore	<http://model.geneontology.org/-17059154>	<http://purl.obolibrary.org/obo/GO_1990351>
Fusion_of_the_Influenza_Virion_to_the_Host_Cell_Endosome	Influenza A Viral Particle Docked At The Endocytic Vesicle Membrane With An Open Pore	<http://model.geneontology.org/-1582733960>	<http://purl.obolibrary.org/obo/GO_1990351>
Signal_transduction_by_L1	Activation of Rac1 by VAV2	<http://model.geneontology.org/-983080877>	<http://purl.obolibrary.org/obo/GO_0005525>
Signal_transduction_by_L1	p-S,T-MEK2:ERK2	<http://model.geneontology.org/765970662>	<http://purl.obolibrary.org/obo/GO_1902554>
Signal_transduction_by_L1	CK2	<http://model.geneontology.org/-1323927386>	<http://purl.obolibrary.org/obo/GO_0061695>
Signal_transduction_by_L1	MEK1:ERK1	<http://model.geneontology.org/1675699175>	<http://purl.obolibrary.org/obo/GO_1902554>
Regulation_of_RUNX3_expression_and_activity	RUNX3:p-S166,S188-MDM2 dimer	<http://model.geneontology.org/-1466775617>	<http://purl.obolibrary.org/obo/GO_0000151>
Regulation_of_RUNX3_expression_and_activity	MyrG-p-Y419-SRC:RUNX3	<http://model.geneontology.org/-1026793812>	<http://purl.obolibrary.org/obo/GO_1902911>
Regulation_of_RUNX3_expression_and_activity	26S proteasome	<http://model.geneontology.org/-815962336>	<http://purl.obolibrary.org/obo/GO_1905369>
Regulation_of_RUNX3_expression_and_activity	RUNX3:p-S166,S188-MDM2 dimer	<http://model.geneontology.org/967551431>	<http://purl.obolibrary.org/obo/GO_0000151>
Regulation_of_RUNX3_expression_and_activity	SMURF	<http://model.geneontology.org/-1652893411>	<http://purl.obolibrary.org/obo/GO_0000151>
Regulation_of_RUNX3_expression_and_activity	SRC phosphorylates RUNX3	<http://model.geneontology.org/-410859164>	<http://purl.obolibrary.org/obo/GO_0098772>
Regulation_of_RUNX3_expression_and_activity	MyrG-p-Y419-SRC:RUNX3	<http://model.geneontology.org/-2104993286>	<http://purl.obolibrary.org/obo/GO_1902911>
Regulation_of_RUNX3_expression_and_activity	CBFB binds RUNX3	<http://model.geneontology.org/-410859163>	<http://purl.obolibrary.org/obo/GO_0098772>
PI_Metabolism	TNFAIP8 proteins	<http://model.geneontology.org/1299810116>	<http://purl.obolibrary.org/obo/GO_1902556>
Generation_of_second_messenger_molecules	ZAP-70 and ITK tyrosine kinases	<http://model.geneontology.org/1995146381>	<http://purl.obolibrary.org/obo/GO_1902911>
Generation_of_second_messenger_molecules	Activated ZAP-70	<http://model.geneontology.org/2000347697>	<http://purl.obolibrary.org/obo/GO_1902911>
Generation_of_second_messenger_molecules	Activated ZAP-70	<http://model.geneontology.org/1823188041>	<http://purl.obolibrary.org/obo/GO_1902911>
Generation_of_second_messenger_molecules	SLP-76 bound to Gads:LAT	<http://model.geneontology.org/-109214828>	<http://purl.obolibrary.org/obo/GO_1902911>
Elevation_of_cytosolic_Ca2+_levels	IP3R tetramer:I(1,4,5)P3:4xCa2+	<http://model.geneontology.org/434869069>	<http://purl.obolibrary.org/obo/GO_0034704>
Elevation_of_cytosolic_Ca2+_levels	P2X purinoreceptors:ATP	<http://model.geneontology.org/-939498302>	<http://purl.obolibrary.org/obo/GO_0034704>
Elevation_of_cytosolic_Ca2+_levels	CRAC channel	<http://model.geneontology.org/783148759>	<http://purl.obolibrary.org/obo/GO_0034704>
Elevation_of_cytosolic_Ca2+_levels	DAG-activated TRPC3/6/7	<http://model.geneontology.org/1519006345>	<http://purl.obolibrary.org/obo/GO_0034703>
Autodegradation_of_Cdh1_by_Cdh1:APC-C	multiubiquitinated Cdh1 associated with APC/C	<http://model.geneontology.org/1760794288>	<http://purl.obolibrary.org/obo/GO_1905369>
Autodegradation_of_Cdh1_by_Cdh1:APC-C	26S proteasome	<http://model.geneontology.org/-424079218>	<http://purl.obolibrary.org/obo/GO_1905369>
Autodegradation_of_Cdh1_by_Cdh1:APC-C	phospho-Cdh1:phospho-APC/C complex	<http://model.geneontology.org/1113988082>	<http://purl.obolibrary.org/obo/GO_1990234>
Catecholamine_biosynthesis	Catecholamine biosynthesis	<http://model.geneontology.org/1915830898>	<http://purl.obolibrary.org/obo/GO_0006767>
Catecholamine_biosynthesis	Catecholamine biosynthesis	<http://model.geneontology.org/1915830898>	<http://purl.obolibrary.org/obo/GO_0072592>
Catecholamine_biosynthesis	Catecholamine biosynthesis	<http://model.geneontology.org/1915830898>	<http://purl.obolibrary.org/obo/GO_0042417>
Catecholamine_biosynthesis	Catecholamine biosynthesis	<http://model.geneontology.org/1915830898>	<http://purl.obolibrary.org/obo/GO_0046500>
Catecholamine_biosynthesis	Catecholamine biosynthesis	<http://model.geneontology.org/1915830898>	<http://purl.obolibrary.org/obo/GO_0046498>
Catecholamine_biosynthesis	Catecholamine biosynthesis	<http://model.geneontology.org/1915830898>	<http://purl.obolibrary.org/obo/GO_0046146>
Catecholamine_biosynthesis	Catecholamine biosynthesis	<http://model.geneontology.org/1915830898>	<http://purl.obolibrary.org/obo/GO_0005996>
Catecholamine_biosynthesis	Catecholamine biosynthesis	<http://model.geneontology.org/1915830898>	<http://purl.obolibrary.org/obo/GO_1903184>
Ligand-independent_caspase_activation_via_DCC	Caspase-3, Caspase-7	<http://model.geneontology.org/-1856460331>	<http://purl.obolibrary.org/obo/GO_0008303>
Ligand-independent_caspase_activation_via_DCC	Caspase cleavage of UNC5B	<http://model.geneontology.org/-982993553>	<http://purl.obolibrary.org/obo/GO_0097199>
Ligand-independent_caspase_activation_via_DCC	Caspase cleavage of UNC5A	<http://model.geneontology.org/-982993551>	<http://purl.obolibrary.org/obo/GO_0097199>
Ligand-independent_caspase_activation_via_DCC	Caspase-3, Caspase-7	<http://model.geneontology.org/-236668628>	<http://purl.obolibrary.org/obo/GO_0008303>
Ligand-independent_caspase_activation_via_DCC	Activation of caspase-3	<http://model.geneontology.org/-982993554>	<http://purl.obolibrary.org/obo/GO_0097199>
Ligand-independent_caspase_activation_via_DCC	DCC:DIP13alpha:Caspase-9	<http://model.geneontology.org/-579228749>	<http://purl.obolibrary.org/obo/GO_0008303>
MET_Receptor_Activation	HGF:p-4Y-MET dimer	<http://model.geneontology.org/850088668>	<http://purl.obolibrary.org/obo/GO_1904096>
MET_Receptor_Activation	PTPN1,PTPN2	<http://model.geneontology.org/-1529815108>	<http://purl.obolibrary.org/obo/GO_1904096>
MET_Receptor_Activation	HGF:p-4Y-MET dimer	<http://model.geneontology.org/878717819>	<http://purl.obolibrary.org/obo/GO_1904096>
MET_Receptor_Activation	HGF:MET dimer	<http://model.geneontology.org/526791965>	<http://purl.obolibrary.org/obo/GO_1902911>
MET_Receptor_Activation	MET binds RANBP10	<http://model.geneontology.org/-983052861>	<http://purl.obolibrary.org/obo/GO_0098772>
MET_Receptor_Activation	HGF:MET dimer	<http://model.geneontology.org/192406057>	<http://purl.obolibrary.org/obo/GO_1902911>
MET_Receptor_Activation	MUC20 binds MET and inhibits GRB2 binding	<http://model.geneontology.org/-983052885>	<http://purl.obolibrary.org/obo/GO_0098772>
Pentose_phosphate_pathway_(hexose_monophosphate_shunt)	RPE:Fe2+ dimers	<http://model.geneontology.org/1487896593>	<http://purl.obolibrary.org/obo/GO_1902494>
Pentose_phosphate_pathway_(hexose_monophosphate_shunt)	PRPS2 dimer, PRPS1L dimer	<http://model.geneontology.org/500921910>	<http://purl.obolibrary.org/obo/GO_0002189>
Pentose_phosphate_pathway_(hexose_monophosphate_shunt)	Pentose phosphate pathway (hexose monophosphate shunt)	<http://model.geneontology.org/1915828882>	<http://purl.obolibrary.org/obo/GO_0006117>
Pentose_phosphate_pathway_(hexose_monophosphate_shunt)	Pentose phosphate pathway (hexose monophosphate shunt)	<http://model.geneontology.org/1915828882>	<http://purl.obolibrary.org/obo/GO_0046031>
Pentose_phosphate_pathway_(hexose_monophosphate_shunt)	Pentose phosphate pathway (hexose monophosphate shunt)	<http://model.geneontology.org/1915828882>	<http://purl.obolibrary.org/obo/GO_0046034>
Pentose_phosphate_pathway_(hexose_monophosphate_shunt)	Pentose phosphate pathway (hexose monophosphate shunt)	<http://model.geneontology.org/1915828882>	<http://purl.obolibrary.org/obo/GO_0046389>
Pentose_phosphate_pathway_(hexose_monophosphate_shunt)	Pentose phosphate pathway (hexose monophosphate shunt)	<http://model.geneontology.org/1915828882>	<http://purl.obolibrary.org/obo/GO_0006002>
Pentose_phosphate_pathway_(hexose_monophosphate_shunt)	Pentose phosphate pathway (hexose monophosphate shunt)	<http://model.geneontology.org/1915828882>	<http://purl.obolibrary.org/obo/GO_0006014>
Pentose_phosphate_pathway_(hexose_monophosphate_shunt)	Pentose phosphate pathway (hexose monophosphate shunt)	<http://model.geneontology.org/1915828882>	<http://purl.obolibrary.org/obo/GO_0032787>
Pentose_phosphate_pathway_(hexose_monophosphate_shunt)	RPE:Fe2+ dimers	<http://model.geneontology.org/-309054766>	<http://purl.obolibrary.org/obo/GO_1902494>
Pentose_phosphate_pathway_(hexose_monophosphate_shunt)	aldolase tetramer	<http://model.geneontology.org/594237517>	<http://purl.obolibrary.org/obo/GO_1902494>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	MutSbeta:ADP	<http://model.geneontology.org/-1317801613>	<http://purl.obolibrary.org/obo/GO_0032300>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	MutSbeta:MutSalpha:ATP:PCNA:DNA containing 1-2 base IDL	<http://model.geneontology.org/2077800788>	<http://purl.obolibrary.org/obo/GO_1905348>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	MutSbeta:MutSalpha:ATP:PCNA:DNA containing 1-2 base IDL	<http://model.geneontology.org/2077800788>	<http://purl.obolibrary.org/obo/GO_0032300>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	MutSbeta:MutSalpha:ATP:PCNA:DNA containing 1-2 base IDL	<http://model.geneontology.org/1137862738>	<http://purl.obolibrary.org/obo/GO_1905348>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	MutSbeta:MutSalpha:ATP:PCNA:DNA containing 1-2 base IDL	<http://model.geneontology.org/1137862738>	<http://purl.obolibrary.org/obo/GO_0032300>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	MutLalpha:MutSbeta:ATP:PCNA:DNA containing 1-2 base IDL and single strand incision	<http://model.geneontology.org/1860116852>	<http://purl.obolibrary.org/obo/GO_0032300>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	MutSbeta:ATP:DNA containing IDL of 2 bases or more	<http://model.geneontology.org/-1753169485>	<http://purl.obolibrary.org/obo/GO_0032300>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	MutSbeta:ADP:DNA containing IDL of 2 bases or more	<http://model.geneontology.org/-1535485549>	<http://purl.obolibrary.org/obo/GO_0032300>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	DNA Polymerase delta tetramer	<http://model.geneontology.org/884437560>	<http://purl.obolibrary.org/obo/GO_0042575>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	DNA Polymerase delta tetramer	<http://model.geneontology.org/884437560>	<http://purl.obolibrary.org/obo/GO_0032300>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	<http://model.geneontology.org/2140017516>	<http://purl.obolibrary.org/obo/GO_0046075>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	<http://model.geneontology.org/2140017516>	<http://purl.obolibrary.org/obo/GO_0046031>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	<http://model.geneontology.org/2140017516>	<http://purl.obolibrary.org/obo/GO_0046070>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	<http://model.geneontology.org/2140017516>	<http://purl.obolibrary.org/obo/GO_0046034>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	<http://model.geneontology.org/2140017516>	<http://purl.obolibrary.org/obo/GO_0046065>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	<http://model.geneontology.org/2140017516>	<http://purl.obolibrary.org/obo/GO_0046033>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	<http://model.geneontology.org/2140017516>	<http://purl.obolibrary.org/obo/GO_0046060>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	EXO1:MutLalpha:MutSbeta:ATP:PCNA:DNA containing 1-2 base IDL and single strand incision	<http://model.geneontology.org/-1568817134>	<http://purl.obolibrary.org/obo/GO_1902494>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	EXO1:MutLalpha:MutSbeta:ATP:PCNA:DNA containing 1-2 base IDL and single strand incision	<http://model.geneontology.org/-1568817134>	<http://purl.obolibrary.org/obo/GO_0032300>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	RPA:DNA containing single strand gap	<http://model.geneontology.org/-1758588150>	<http://purl.obolibrary.org/obo/GO_0042575>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	RPA:DNA containing single strand gap	<http://model.geneontology.org/-1758588150>	<http://purl.obolibrary.org/obo/GO_0032300>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	EXO1:MutLalpha:MutSbeta:ATP:PCNA:DNA containing 1-2 base IDL and single strand incision	<http://model.geneontology.org/1642432916>	<http://purl.obolibrary.org/obo/GO_1902494>
Mismatch_repair_(MMR)_directed_by_MSH2:MSH3_(MutSbeta)	EXO1:MutLalpha:MutSbeta:ATP:PCNA:DNA containing 1-2 base IDL and single strand incision	<http://model.geneontology.org/1642432916>	<http://purl.obolibrary.org/obo/GO_0032300>
RHO_GTPases_activate_CIT	CIT binds CDKN1B	<http://model.geneontology.org/-983020372>	<http://purl.obolibrary.org/obo/GO_0098772>
RHO_GTPases_activate_CIT	p-T19,S20-MRLC-smooth muscle/non-muscle myosin II	<http://model.geneontology.org/-519187591>	<http://purl.obolibrary.org/obo/GO_1903293>
RHO_GTPases_activate_CIT	RHOA,RHOB,RHOC,RAC1:GTP:CIT	<http://model.geneontology.org/721577751>	<http://purl.obolibrary.org/obo/GO_1902554>
RHO_GTPases_activate_CIT	Myosin phosphatase	<http://model.geneontology.org/1961625064>	<http://purl.obolibrary.org/obo/GO_1903293>
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	26S proteasome	<http://model.geneontology.org/-1263473335>	<http://purl.obolibrary.org/obo/GO_1905369>
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	E3:Ub:substrate	<http://model.geneontology.org/-489218983>	<http://purl.obolibrary.org/obo/GO_1990234>
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	E3:Ub:substrate	<http://model.geneontology.org/-2082332563>	<http://purl.obolibrary.org/obo/GO_1990234>
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	Polyubiquitination of substrate	<http://model.geneontology.org/-982987511>	<http://purl.obolibrary.org/obo/GO_0098772>
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	TAP	<http://model.geneontology.org/-501744572>	<http://purl.obolibrary.org/obo/GO_0098533>
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	Transfer of ubiquitin from E1 to E2	<http://model.geneontology.org/-982987514>	<http://purl.obolibrary.org/obo/GO_0044877>
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	Antigen processing: Ubiquitination & Proteasome degradation	<http://model.geneontology.org/2140018479>	<http://purl.obolibrary.org/obo/GO_0006518>
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	Antigen processing: Ubiquitination & Proteasome degradation	<http://model.geneontology.org/2140018479>	<http://purl.obolibrary.org/obo/GO_0046034>
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	Antigen processing: Ubiquitination & Proteasome degradation	<http://model.geneontology.org/2140018479>	<http://purl.obolibrary.org/obo/GO_0046033>
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	Activating enzymes E1	<http://model.geneontology.org/-1540169940>	<http://purl.obolibrary.org/obo/GO_1990234>
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	IFN gamma stimulated aminopeptidases	<http://model.geneontology.org/1237226182>	<http://purl.obolibrary.org/obo/GO_1905368>
Antigen_processing:_Ubiquitination_&_Proteasome_degradation	Ag-substrate:E3:E2:Ub	<http://model.geneontology.org/606072484>	<http://purl.obolibrary.org/obo/GO_1990234>
NOTCH3_Activation_and_Transmission_of_Signal_to_the_Nucleus	NEXT3,NICD3:WWP2	<http://model.geneontology.org/-923854919>	<http://purl.obolibrary.org/obo/GO_0000151>
NOTCH3_Activation_and_Transmission_of_Signal_to_the_Nucleus	EGF:p-6Y-EGFR dimer:NICD3	<http://model.geneontology.org/-734800134>	<http://purl.obolibrary.org/obo/GO_1902911>
NOTCH3_Activation_and_Transmission_of_Signal_to_the_Nucleus	MIB/NEURL	<http://model.geneontology.org/-13475876>	<http://purl.obolibrary.org/obo/GO_1990234>
NOTCH3_Activation_and_Transmission_of_Signal_to_the_Nucleus	NEXT3,NICD3:WWP2	<http://model.geneontology.org/-933215987>	<http://purl.obolibrary.org/obo/GO_0000151>
NOTCH3_Activation_and_Transmission_of_Signal_to_the_Nucleus	EGF:p-6Y-EGFR dimer:NICD3	<http://model.geneontology.org/-2077891988>	<http://purl.obolibrary.org/obo/GO_1902911>
NOTCH3_Activation_and_Transmission_of_Signal_to_the_Nucleus	Ub-DLL/JAG:NOTCH3	<http://model.geneontology.org/-493801889>	<http://purl.obolibrary.org/obo/GO_1905368>
NOTCH3_Activation_and_Transmission_of_Signal_to_the_Nucleus	gamma-secretase complex	<http://model.geneontology.org/-1880762613>	<http://purl.obolibrary.org/obo/GO_1905369>
CREB_phosphorylation_through_the_activation_of_CaMKK	Calmodulin:CaMK IV	<http://model.geneontology.org/-1321746592>	<http://purl.obolibrary.org/obo/GO_1902554>
Glycosphingolipid_metabolism	Glycosphingolipid metabolism	<http://model.geneontology.org/1915829934>	<http://purl.obolibrary.org/obo/GO_0019276>
Glycosphingolipid_metabolism	Glycosphingolipid metabolism	<http://model.geneontology.org/1915829934>	<http://purl.obolibrary.org/obo/GO_0006650>
Glycosphingolipid_metabolism	Glycosphingolipid metabolism	<http://model.geneontology.org/1915829934>	<http://purl.obolibrary.org/obo/GO_0042445>
Glycosphingolipid_metabolism	Glycosphingolipid metabolism	<http://model.geneontology.org/1915829934>	<http://purl.obolibrary.org/obo/GO_0046031>
Glycosphingolipid_metabolism	Glycosphingolipid metabolism	<http://model.geneontology.org/1915829934>	<http://purl.obolibrary.org/obo/GO_0008202>
Glycosphingolipid_metabolism	Glycosphingolipid metabolism	<http://model.geneontology.org/1915829934>	<http://purl.obolibrary.org/obo/GO_0016999>
Glycosphingolipid_metabolism	Glycosphingolipid metabolism	<http://model.geneontology.org/1915829934>	<http://purl.obolibrary.org/obo/GO_0070813>
Glycosphingolipid_metabolism	Glycosphingolipid metabolism	<http://model.geneontology.org/1915829934>	<http://purl.obolibrary.org/obo/GO_0052573>
Glycosphingolipid_metabolism	Glycosphingolipid metabolism	<http://model.geneontology.org/1915829934>	<http://purl.obolibrary.org/obo/GO_0001573>
Glycosphingolipid_metabolism	Glycosphingolipid metabolism	<http://model.geneontology.org/1915829934>	<http://purl.obolibrary.org/obo/GO_0006684>
Glycosphingolipid_metabolism	Glycosphingolipid metabolism	<http://model.geneontology.org/1915829934>	<http://purl.obolibrary.org/obo/GO_0006011>
Glycosphingolipid_metabolism	Glycosphingolipid metabolism	<http://model.geneontology.org/1915829934>	<http://purl.obolibrary.org/obo/GO_0006670>
