pathway	new_bp	new_mf	new_cc	new_complex	new_total
Chylomicron_assembly	0	0	0	6	6
RUNX3_regulates_BCL2L11_(BIM)_transcription	0	1	0	2	3
Defective_SLC6A19_causes_Hartnup_disorder_(HND)	0	0	0	0	0
Signaling_by_VEGF	0	0	0	0	0
Defective_ALG3_causes_ALG3-CDG_(CDG-1d)	0	0	0	0	0
Activation_of_the_pre-replicative_complex	0	1	0	16	17
Acetylcholine_regulates_insulin_secretion	0	0	0	8	8
mRNA_Editing:_A_to_I_Conversion	0	0	0	0	0
Defective_DPM1_causes_DPM1-CDG_(CDG-1e)	0	0	0	0	0
Hormone_ligand-binding_receptors	0	0	0	14	14
Small_interfering_RNA_(siRNA)_biogenesis	0	0	0	9	9
PI-3K_cascade:FGFR3	0	0	0	22	22
PI-3K_cascade:FGFR2	0	0	0	22	22
The_NLRP3_inflammasome	0	1	0	12	13
tRNA_processing_in_the_nucleus	0	0	0	13	13
PI-3K_cascade:FGFR4	0	0	0	22	22
Ephrin_signaling	0	0	0	12	12
Senescence-Associated_Secretory_Phenotype_(SASP)	0	5	0	26	31
Abnormal_conversion_of_2-oxoglutarate_to_2-hydroxyglutarate	0	0	0	0	0
S37_mutants_of_beta-catenin_aren't_phosphorylated	0	0	0	1	1
PI-3K_cascade:FGFR1	0	0	0	22	22
Negative_regulation_of_FGFR4_signaling	0	0	0	8	8
Activation_of_caspases_through_apoptosome-mediated_cleavage	0	0	0	3	3
Toll_Like_Receptor_9_(TLR9)_Cascade	0	0	0	4	4
MHC_class_II_antigen_presentation	0	0	0	33	33
Defective_SLC4A4_causes_renal_tubular_acidosis,_proximal,_with_ocular_abnormalities_and_mental_retardation_(pRTA-OA)	0	0	0	0	0
Chromatin_modifying_enzymes	0	0	0	7	7
RNA_Polymerase_II_Transcription	0	0	0	0	0
Defective_CSF2RA_causes_pulmonary_surfactant_metabolism_dysfunction_4_(SMDP4)	0	0	0	1	1
Ca-dependent_events	0	0	0	0	0
Sterols_are_12-hydroxylated_by_CYP8B1	0	0	0	1	1
The_phototransduction_cascade	0	0	0	0	0
Toxicity_of_botulinum_toxin_type_C_(BoNT-C)	0	0	0	3	3
Miscellaneous_substrates	0	0	0	2	2
Processing_of_DNA_double-strand_break_ends	0	0	0	34	34
Defective_LARGE_causes_MDDGA6_and_MDDGB6	0	0	0	0	0
Hyaluronan_biosynthesis_and_export	0	0	0	3	3
RSK_activation	0	0	0	4	4
mitochondrial_fatty_acid_beta-oxidation_of_unsaturated_fatty_acids	0	0	0	5	5
Nuclear_Envelope_Breakdown	0	0	0	0	0
Inactivation,_recovery_and_regulation_of_the_phototransduction_cascade	0	5	0	38	43
The_NLRP1_inflammasome	0	0	0	2	2
PI3K_events_in_ERBB4_signaling	0	0	0	5	5
Cristae_formation	0	0	0	4	4
Interferon_alpha-beta_signaling	0	2	0	23	25
FCERI_mediated_Ca+2_mobilization	0	1	0	36	37
Nef-mediates_down_modulation_of_cell_surface_receptors_by_recruiting_them_to_clathrin_adapters	0	0	0	0	0
Biosynthesis_of_DPAn-3-derived_protectins_and_resolvins	0	0	0	0	0
Peptide_chain_elongation	0	0	0	10	10
Phospholipid_metabolism	0	0	0	0	0
Defective_GNE_causes_sialuria,_Nonaka_myopathy_and_inclusion_body_myopathy_2	0	0	0	0	0
Muscarinic_acetylcholine_receptors	0	0	0	10	10
Cellular_response_to_hypoxia	0	0	0	0	0
Apoptotic_cleavage_of_cellular_proteins	0	0	0	1	1
tRNA_modification_in_the_nucleus_and_cytosol	0	0	0	9	9
Negative_regulation_of_FGFR2_signaling	0	0	0	8	8
Disinhibition_of_SNARE_formation	0	0	0	1	1
Regulation_by_TREX1	0	0	0	1	1
Disassembly_of_the_destruction_complex_and_recruitment_of_AXIN_to_the_membrane	0	0	0	11	11
G-protein_mediated_events	0	0	0	0	0
Interleukin-4_and_13_signaling	0	0	0	52	52
Regulation_of_TP53_Expression_and_Degradation	0	0	0	0	0
Stimulation_of_the_cell_death_response_by_PAK-2p34	0	0	0	2	2
RPIA_deficiency:_failed_conversion_of_RU5P_to_R5P	0	0	0	0	0
B_Cell_Activation	0	0	0	0	0
Signalling_to_p38_via_RIT_and_RIN	0	0	0	5	5
Toll_Like_Receptor_4_(TLR4)_Cascade	0	0	0	9	9
MTF1_activates_gene_expression	0	2	0	0	2
mRNA_3'-end_processing	0	0	0	15	15
Serine_biosynthesis	0	0	0	1	1
Activated_PKN1_stimulates_transcription_of_AR_(androgen_receptor)_regulated_genes_KLK2_and_KLK3	0	0	0	11	11
Biosynthesis_of_the_N-glycan_precursor_(dolichol_lipid-linked_oligosaccharide,_LLO)_and_transfer_to_a_nascent_protein	0	0	0	2	2
NF-kB_is_activated_and_signals_survival	0	0	0	6	6
Synthesis_of_(16-20)-hydroxyeicosatetraenoic_acids_(HETE)	0	0	0	3	3
Hydroxycarboxylic_acid-binding_receptors	0	0	0	3	3
G1_Phase	0	0	0	0	0
Norepinephrine_Neurotransmitter_Release_Cycle	0	0	0	9	9
Activation_of_HOX_genes_during_differentiation	0	0	0	0	0
Nucleotide-binding_domain,_leucine_rich_repeat_containing_receptor_(NLR)_signaling_pathways	0	0	0	0	0
Serotonin_Neurotransmitter_Release_Cycle	0	0	0	5	5
Activation_of_NIMA_Kinases_NEK9,_NEK6,_NEK7	0	0	0	7	7
Fatty_acyl-CoA_biosynthesis	0	0	0	3	3
Calnexin-calreticulin_cycle	0	0	0	11	11
Cooperation_of_PDCL_(PhLP1)_and_TRiC-CCT_in_G-protein_beta_folding	0	0	0	30	30
Pre-NOTCH_Processing_in_Golgi	0	0	0	27	27
Reversal_of_alkylation_damage_by_DNA_dioxygenases	0	0	0	1	1
Plasmalogen_biosynthesis	0	0	0	2	2
Cell-cell_junction_organization	0	0	0	0	0
Incretin_synthesis,_secretion,_and_inactivation	0	0	0	0	0
Signalling_to_ERK5	0	0	0	5	5
Adenosine_P1_receptors	0	0	0	9	9
Defective_pro-SFTPB_causes_pulmonary_surfactant_metabolism_dysfunction_1_(SMDP1)_and_respiratory_distress_syndrome_(RDS)	0	0	0	1	1
TWIK_related_potassium_channel_(TREK)	0	0	0	1	1
RAF-independent_MAPK1-3_activation	0	1	0	21	22
Defective_SLC16A1_causes_symptomatic_deficiency_in_lactate_transport_(SDLT)	0	0	0	0	0
Negative_regulation_of_FGFR3_signaling	0	0	0	8	8
Reuptake_of_GABA	0	0	0	1	1
Defective_TBXAS1_causes_Ghosal_hematodiaphyseal_dysplasia_(GHDD)	0	0	0	0	0
Variant_SLC6A20_contributes_towards_hyperglycinuria_(HG)_and_iminoglycinuria_(IG)	0	0	0	0	0
Mitochondrial_biogenesis	0	0	0	0	0
Interleukin-3,_5_and_GM-CSF_signaling	0	0	0	35	35
Signaling_by_NOTCH1_in_Cancer	0	0	0	0	0
Nuclear_Receptor_transcription_pathway	0	0	0	2	2
Metabolic_disorders_of_biological_oxidation_enzymes	0	0	0	0	0
Translocation_of_GLUT4_to_the_plasma_membrane	0	1	0	21	22
Potassium_transport_channels	0	0	0	1	1
Effects_of_PIP2_hydrolysis	0	0	0	14	14
RUNX1_regulates_transcription_of_genes_involved_in_differentiation_of_keratinocytes	0	3	0	7	10
RHO_GTPases_Activate_WASPs_and_WAVEs	0	0	0	20	20
Regulation_of_PTEN_localization	0	0	0	2	2
Nuclear_Pore_Complex_(NPC)_Disassembly	0	0	0	6	6
Fcgamma_receptor_(FCGR)_dependent_phagocytosis	0	0	0	0	0
Sema3A_PAK_dependent_Axon_repulsion	0	0	0	8	8
MAP_kinase_activation	0	0	0	0	0
FCERI_mediated_MAPK_activation	0	0	0	31	31
Gamma-carboxylation,_transport,_and_amino-terminal_cleavage_of_proteins	0	0	0	0	0
Beta_oxidation_of_decanoyl-CoA_to_octanoyl-CoA-CoA	0	0	0	5	5
The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport	0	0	0	0	0
Smooth_Muscle_Contraction	0	1	0	28	29
Disorders_of_transmembrane_transporters	0	0	0	0	0
Formation_of_Incision_Complex_in_GG-NER	0	0	0	21	21
DAP12_signaling	0	0	0	25	25
Transport_of_organic_anions	0	0	0	0	0
Regulation_of_signaling_by_NODAL	0	0	0	5	5
Vitamins_B6_activation_to_pyridoxal_phosphate	0	0	0	0	0
Inhibition_of_Interferon_Synthesis	0	0	0	0	0
RAB_GEFs_exchange_GTP_for_GDP_on_RABs	0	0	0	47	47
Signal_regulatory_protein_family_interactions	0	0	0	11	11
AMER1_mutants_destabilize_the_destruction_complex	0	0	0	0	0
Heme_degradation	0	0	0	2	2
DNA_Damage_Recognition_in_GG-NER	0	0	0	13	13
Defective_GCLC_causes_Hemolytic_anemia_due_to_gamma-glutamylcysteine_synthetase_deficiency_(HAGGSD)	0	0	0	0	0
Nucleotide-like_(purinergic)_receptors	0	0	0	0	0
Nonsense_Mediated_Decay_(NMD)_enhanced_by_the_Exon_Junction_Complex_(EJC)	0	1	0	8	9
Chylomicron_remodeling	0	0	0	7	7
Integrin_alphaIIb_beta3_signaling	0	0	0	28	28
Tristetraprolin_(TTP,_ZFP36)_binds_and_destabilizes_mRNA	0	0	0	5	5
Adrenaline_signalling_through_Alpha-2_adrenergic_receptor	0	0	0	4	4
Organic_anion_transporters	0	0	0	2	2
RNA_Polymerase_III_Transcription	0	0	0	0	0
Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.	0	0	0	0	0
Acetylation	0	0	0	0	0
Eukaryotic_Translation_Termination	0	0	0	8	8
Regulation_of_actin_dynamics_for_phagocytic_cup_formation	0	1	0	40	41
SMAD4_MH2_Domain_Mutants_in_Cancer	0	0	0	2	2
Defective_EXT1_causes_exostoses_1,_TRPS2_and_CHDS	0	0	0	4	4
Deadenylation-dependent_mRNA_decay	0	0	0	0	0
NOTCH1_Intracellular_Domain_Regulates_Transcription	0	4	0	30	34
TFAP2_(AP-2)_family_regulates_transcription_of_growth_factors_and_their_receptors	0	8	0	10	18
GSD_Ia	0	0	0	0	0
Chromosome_Maintenance	0	0	0	0	0
Defective_CP_causes_aceruloplasminemia_(ACERULOP)	0	0	0	0	0
CREB_phosphorylation_through_the_activation_of_Adenylate_Cyclase	0	0	0	2	2
N-glycan_trimming_in_the_ER_and_Calnexin-Calreticulin_cycle	0	0	0	9	9
SLC-mediated_transmembrane_transport	0	0	0	0	0
GSD_IV	0	0	0	1	1
rRNA_processing	0	0	0	0	0
Defective_RFT1_causes_RFT1-CDG_(CDG-1n)	0	0	0	0	0
SMAD2-SMAD3:SMAD4_heterotrimer_regulates_transcription	0	7	0	38	45
Glycoprotein_hormones	0	0	0	6	6
TRAIL_signaling	0	0	0	12	12
Defective_DPM2_causes_DPM2-CDG_(CDG-1u)	0	0	0	0	0
NS1_Mediated_Effects_on_Host_Pathways	0	0	0	3	3
Extrinsic_Pathway_of_Fibrin_Clot_Formation	0	0	0	5	5
GSD_II	0	0	0	0	0
Ion_channel_transport	0	0	0	2	2
FBXL7_down-regulates_AURKA_during_mitotic_entry_and_in_early_mitosis	0	0	0	6	6
COPI-dependent_Golgi-to-ER_retrograde_traffic	0	0	0	20	20
BBSome-mediated_cargo-targeting_to_cilium	0	2	0	6	8
RNA_Polymerase_III_Transcription_Initiation_From_Type_2_Promoter	0	0	0	7	7
Signaling_by_cytosolic_FGFR1_fusion_mutants	0	0	0	17	17
Scavenging_by_Class_F_Receptors	0	2	0	1	3
Class_A-1_(Rhodopsin-like_receptors)	0	0	0	14	14
RNA_Pol_II_CTD_phosphorylation_and_interaction_with_CE	0	0	0	7	7
Interleukin-6_family_signaling	0	0	0	0	0
SMAD2-3_Phosphorylation_Motif_Mutants_in_Cancer	0	0	0	2	2
Synthesis_of_DNA	0	0	0	0	0
Cytosolic_sensors_of_pathogen-associated_DNA	0	0	0	4	4
Transport_of_bile_salts_and_organic_acids,_metal_ions_and_amine_compounds	0	0	0	4	4
P2Y_receptors	0	0	0	8	8
Phosphorylation_of_proteins_involved_in_the_G2-M_transition_by_Cyclin_A:Cdc2_complexes	0	0	0	2	2
PI3K-AKT_Signaling_in_Cancer	0	0	0	0	0
Multifunctional_anion_exchangers	0	0	0	4	4
Synthesis_of_Hepoxilins_(HX)_and_Trioxilins_(TrX)	0	0	0	0	0
Interleukin-38_signaling	0	1	0	3	4
Intra-Golgi_and_retrograde_Golgi-to-ER_traffic	0	0	0	0	0
PIPs_transport_between_Golgi_and_plasma_membranes	0	0	0	2	2
RUNX1_regulates_transcription_of_genes_involved_in_differentiation_of_HSCs	0	2	0	15	17
Beta_oxidation_of_butanoyl-CoA_to_acetyl-CoA	0	0	0	5	5
Defective_SLC12A6_causes_agenesis_of_the_corpus_callosum,_with_peripheral_neuropathy_(ACCPN)	0	0	0	0	0
Loss_of_Function_of_TGFBR1_in_Cancer	0	0	0	0	0
Bile_acid_and_bile_salt_metabolism	0	0	0	0	0
NGF_processing	0	0	0	2	2
Defective_CYP21A2_causes_Adrenal_hyperplasia_3_(AH3)	0	0	0	0	0
Diseases_associated_with_glycosylation_precursor_biosynthesis	0	0	0	0	0
Ion_influx-efflux_at_host-pathogen_interface	0	0	0	1	1
Abasic_sugar-phosphate_removal_via_the_single-nucleotide_replacement_pathway	0	0	0	3	3
2-LTR_circle_formation	0	0	0	7	7
TP53_Regulates_Transcription_of_Genes_Involved_in_G1_Cell_Cycle_Arrest	0	7	0	14	21
Activation_of_NOXA_and_translocation_to_mitochondria	0	2	0	6	8
Protein_ubiquitination	0	0	0	0	0
Myogenesis	0	0	0	0	0
Activation_of_Ca-permeable_Kainate_Receptor	0	0	0	2	2
Gene_and_protein_expression_by_JAK-STAT_signaling_after_Interleukin-12_stimulation	0	0	0	0	0
CREB_phosphorylation_through_the_activation_of_Ras	0	0	0	5	5
Defective_SLC12A3_causes_Gitelman_syndrome_(GS)	0	0	0	0	0
Cyclin_D_associated_events_in_G1	0	1	0	45	46
Defective_SLC2A10_causes_arterial_tortuosity_syndrome_(ATS)	0	0	0	0	0
Platelet_Aggregation_(Plug_Formation)	0	0	0	3	3
Post-translational_protein_phosphorylation	0	0	0	3	3
Defective_GALE_can_cause_Epimerase-deficiency_galactosemia_(EDG)	0	0	0	0	0
Negative_regulation_of_FGFR1_signaling	0	0	0	9	9
mRNA_Capping	0	0	0	24	24
Transcription_of_E2F_targets_under_negative_control_by_DREAM_complex	0	6	0	17	23
Negative_regulation_of_MAPK_pathway	0	0	0	15	15
Defective_MTR_causes_methylmalonic_aciduria_and_homocystinuria_type_cblG	0	0	0	2	2
Purine_catabolism	0	0	0	0	0
Global_Genome_Nucleotide_Excision_Repair_(GG-NER)	0	0	0	0	0
Defective_SLC22A18_causes_lung_cancer_(LNCR)_and_embryonal_rhabdomyosarcoma_1_(RMSE1)	0	0	0	0	0
Orc1_removal_from_chromatin	0	0	0	6	6
Nuclear_import_of_Rev_protein	0	0	0	8	8
Potassium_Channels	0	0	0	0	0
Transport_of_glycerol_from_adipocytes_to_the_liver_by_Aquaporins	0	0	0	0	0
Interleukin-6_signaling	0	2	0	28	30
Conjugation_of_salicylate_with_glycine	0	0	0	2	2
Meiosis	0	0	0	0	0
Biosynthesis_of_EPA-derived_SPMs	0	0	0	0	0
Bloch_pathway	0	0	0	0	0
Fatty_acid_metabolism	0	0	0	0	0
Beta-oxidation_of_very_long_chain_fatty_acids	0	0	0	1	1
Activation_of_CaMK_IV	0	0	0	2	2
Tachykinin_receptors_bind_tachykinins	0	0	0	3	3
Biosynthesis_of_specialized_proresolving_mediators_(SPMs)	0	0	0	0	0
Signaling_by_FGFR2_IIIa_TM	0	0	0	3	3
Cleavage_of_the_damaged_pyrimidine	0	0	0	3	3
Hedgehog_'on'_state	0	0	0	26	26
Transport_of_Ribonucleoproteins_into_the_Host_Nucleus	0	0	0	5	5
Constitutive_Signaling_by_NOTCH1_HD+PEST_Domain_Mutants	0	4	0	28	32
Wax_biosynthesis	0	0	0	1	1
Acetylcholine_Neurotransmitter_Release_Cycle	0	0	0	5	5
Processing_of_SMDT1	0	0	0	6	6
Synthesis_of_PIPs_at_the_late_endosome_membrane	0	0	0	4	4
Reactions_specific_to_the_complex_N-glycan_synthesis_pathway	0	0	0	3	3
NF-kB_activation_through_FADD-RIP-1_pathway_mediated_by_caspase-8_and_-10	0	0	0	9	9
Mitotic_G1-G1-S_phases	0	0	0	0	0
Signaling_by_NOTCH1_HD+PEST_Domain_Mutants_in_Cancer	0	0	0	0	0
Post-transcriptional_silencing_by_small_RNAs	0	0	0	4	4
rRNA_modification_in_the_nucleus_and_cytosol	0	0	0	5	5
Endosomal-Vacuolar_pathway	0	0	0	4	4
Toxicity_of_botulinum_toxin_type_D_(BoNT-D)	0	0	0	2	2
Polo-like_kinase_mediated_events	0	5	0	15	20
RNA_Polymerase_I_Promoter_Escape	0	0	0	2	2
Receptor-type_tyrosine-protein_phosphatases	0	0	0	9	9
tRNA_modification_in_the_mitochondrion	0	0	0	1	1
AMPK_inhibits_chREBP_transcriptional_activation_activity	0	1	0	5	6
Loss_of_Function_of_FBXW7_in_Cancer_and_NOTCH1_Signaling	0	0	0	1	1
Downregulation_of_ERBB2_signaling	0	0	0	8	8
Misspliced_GSK3beta_mutants_stabilize_beta-catenin	0	0	0	1	1
Defective_SLC2A2_causes_Fanconi-Bickel_syndrome_(FBS)	0	0	0	0	0
SeMet_incorporation_into_proteins	0	0	0	1	1
Constitutive_Signaling_by_Aberrant_PI3K_in_Cancer	0	0	0	2	2
Syndecan_interactions	0	0	0	19	19
Amino_acid_and_oligopeptide_SLC_transporters	0	0	0	1	1
Enzymatic_degradation_of_Dopamine_by_monoamine_oxidase	0	0	0	0	0
Signaling_by_EGFRvIII_in_Cancer	0	0	0	0	0
Defective_SLC35A1_causes_congenital_disorder_of_glycosylation_2F_(CDG2F)	0	0	0	0	0
PKMTs_methylate_histone_lysines	0	1	0	26	27
RUNX3_regulates_YAP1-mediated_transcription	0	1	0	5	6
Selenoamino_acid_metabolism	0	0	0	0	0
Signaling_by_Hedgehog	0	0	0	0	0
Host_Interactions_with_Influenza_Factors	0	0	0	0	0
Regulation_of_cytoskeletal_remodeling_and_cell_spreading_by_IPP_complex_components	0	0	0	5	5
trans-Golgi_Network_Vesicle_Budding	0	0	0	0	0
Nicotinate_metabolism	0	0	0	0	0
TNFR1-mediated_ceramide_production	0	0	0	5	5
Regulation_of_PTEN_mRNA_translation	0	12	0	41	53
Platelet_activation,_signaling_and_aggregation	0	0	0	0	0
Signaling_by_PDGF	0	0	0	39	39
truncated_APC_mutants_destabilize_the_destruction_complex	0	0	0	0	0
Oligomerization_of_connexins_into_connexons	0	0	0	1	1
FGFRL1_modulation_of_FGFR1_signaling	0	0	0	4	4
MAPK3_(ERK1)_activation	0	0	0	7	7
Resolution_of_Sister_Chromatid_Cohesion	0	0	0	13	13
Signaling_by_FGFR3_point_mutants_in_cancer	0	0	0	11	11
B-WICH_complex_positively_regulates_rRNA_expression	0	0	0	7	7
RNA_Polymerase_II_HIV_Promoter_Escape	0	0	0	14	14
Cyclin_E_associated_events_during_G1-S_transition	0	2	0	21	23
Homologous_DNA_Pairing_and_Strand_Exchange	0	0	0	6	6
Regulation_of_necroptotic_cell_death	0	0	0	4	4
DNA_replication_initiation	0	0	0	8	8
Interleukin-21_signaling	0	0	0	7	7
Synaptic_adhesion-like_molecules	0	0	0	14	14
Integration_of_viral_DNA_into_host_genomic_DNA	0	0	0	3	3
Transcriptional_regulation_of_white_adipocyte_differentiation	0	7	0	11	18
NRIF_signals_cell_death_from_the_nucleus	0	0	0	7	7
AKT_phosphorylates_targets_in_the_cytosol	0	0	0	10	10
vRNP_Assembly	0	0	0	3	3
GLI_proteins_bind_promoters_of_Hh_responsive_genes_to_promote_transcription	0	1	0	5	6
Integration_of_energy_metabolism	0	0	0	2	2
Defective_SLCO1B3_causes_hyperbilirubinemia,_Rotor_type_(HBLRR)	0	0	0	0	0
Tight_junction_interactions	0	0	0	5	5
RHO_GTPases_Activate_ROCKs	0	0	0	9	9
RUNX2_regulates_chondrocyte_maturation	0	1	0	5	6
Transcriptional_regulation_by_the_AP-2_(TFAP2)_family_of_transcription_factors	0	1	0	2	3
UNC93B1_deficiency_-_HSE	0	0	0	0	0
Defective_B3GAT3_causes_JDSSDHD	0	0	0	1	1
Advanced_glycosylation_endproduct_receptor_signaling	0	0	0	8	8
ALKBH2_mediated_reversal_of_alkylation_damage	0	0	0	0	0
Glucagon-like_Peptide-1_(GLP1)_regulates_insulin_secretion	0	3	0	29	32
Mitochondrial_translation_elongation	0	0	0	9	9
FGFR2_mutant_receptor_activation	0	0	0	0	0
Intracellular_signaling_by_second_messengers	0	0	0	0	0
PTEN_Regulation	0	0	0	0	0
Type_II_Na+-Pi_cotransporters	0	0	0	1	1
PCNA-Dependent_Long_Patch_Base_Excision_Repair	0	0	0	7	7
RNA_Polymerase_I_Transcription_Initiation	0	0	0	10	10
Regulation_of_RUNX1_Expression_and_Activity	0	10	0	72	82
MPS_VII_-_Sly_syndrome	0	0	0	0	0
The_activation_of_arylsulfatases	0	1	0	1	2
RUNX1_regulates_expression_of_components_of_tight_junctions	0	3	0	4	7
EGFR_interacts_with_phospholipase_C-gamma	0	0	0	3	3
Nucleotide_salvage	0	0	0	0	0
IRF3-mediated_induction_of_type_I_IFN	0	0	0	4	4
Melanin_biosynthesis	0	0	0	0	0
Biosynthesis_of_DHA-derived_SPMs	0	0	0	0	0
Toxicity_of_botulinum_toxin_type_G_(BoNT-G)	0	0	0	1	1
Inhibition_of_replication_initiation_of_damaged_DNA_by_RB1-E2F1	0	0	0	6	6
GPCR_downstream_signalling	0	0	0	0	0
RIP-mediated_NFkB_activation_via_ZBP1	0	1	0	10	11
Antigen_Presentation:_Folding,_assembly_and_peptide_loading_of_class_I_MHC	0	0	0	17	17
Erythrocytes_take_up_oxygen_and_release_carbon_dioxide	0	0	0	3	3
Defective_SLC2A9_causes_hypouricemia_renal_2_(RHUC2)	0	0	0	0	0
Signaling_by_FGFR	0	0	0	0	0
RUNX2_regulates_genes_involved_in_cell_migration	0	3	0	6	9
Golgi_Associated_Vesicle_Biogenesis	0	0	0	15	15
Signaling_by_Ligand-Responsive_EGFR_Variants_in_Cancer	0	0	0	0	0
Anchoring_fibril_formation	0	0	0	4	4
Defective_B3GALTL_causes_Peters-plus_syndrome_(PpS)	0	0	0	1	1
Alpha-defensins	0	0	0	11	11
Defective_SLC27A4_causes_ichthyosis_prematurity_syndrome_(IPS)	0	0	0	0	0
DNA_Double-Strand_Break_Repair	0	0	0	0	0
Creatine_metabolism	0	0	0	3	3
HDL_remodeling	0	0	0	5	5
Interleukin-2_family_signaling	0	0	0	1	1
TP53_Regulates_Metabolic_Genes	0	10	0	43	53
Choline_catabolism	0	0	0	0	0
APC:Cdc20_mediated_degradation_of_cell_cycle_proteins_prior_to_satisfation_of_the_cell_cycle_checkpoint	0	0	0	0	0
Regulation_of_TP53_Degradation	0	4	0	23	27
Axonal_growth_stimulation	0	0	0	3	3
Defective_SLC9A9_causes_autism_16_(AUTS16)	0	0	0	0	0
Defective_ALG12_causes_ALG12-CDG_(CDG-1g)	0	0	0	0	0
Vpu_mediated_degradation_of_CD4	0	0	0	7	7
GDP-fucose_biosynthesis	0	0	0	0	0
Defective_SLC5A1_causes_congenital_glucose-galactose_malabsorption_(GGM)	0	0	0	0	0
O-glycosylation_of_TSR_domain-containing_proteins	0	0	0	3	3
Nonhomologous_End-Joining_(NHEJ)	0	0	0	21	21
Telomere_C-strand_synthesis_initiation	0	0	0	7	7
NTF4_activates_NTRK2_(TRKB)_signaling	0	0	0	6	6
SMAC-mediated_dissociation_of_IAP:caspase_complexes	0	0	0	6	6
Acrosome_Reaction	0	0	0	2	2
Triglyceride_metabolism	0	0	0	0	0
MyD88_cascade_initiated_on_plasma_membrane	0	0	0	22	22
FGFR4_mutant_receptor_activation	0	0	0	1	1
Regulation_of_signaling_by_CBL	0	0	0	10	10
Transcriptional_regulation_of_pluripotent_stem_cells	0	8	0	26	34
Insulin_processing	0	0	0	5	5
Mitotic_Prophase	0	0	0	3	3
Regulation_of_gene_expression_by_Hypoxia-inducible_Factor	0	2	0	3	5
Defective_HEXA_causes_GM2G1	0	0	0	0	0
FGFR2_ligand_binding_and_activation	0	0	0	0	0
Sialic_acid_metabolism	0	0	0	4	4
Regulation_of_pyruvate_dehydrogenase_(PDH)_complex	0	1	0	5	6
Asparagine_N-linked_glycosylation	0	0	0	5	5
Defective_BTD_causes_biotidinase_deficiency	0	0	0	0	0
Mismatch_repair_(MMR)_directed_by_MSH2:MSH6_(MutSalpha)	0	0	0	10	10
MET_activates_PI3K-AKT_signaling	0	0	0	10	10
Inhibition_of_TSC_complex_formation_by_PKB	0	0	0	2	2
Intestinal_lipid_absorption	0	1	0	0	1
Branched-chain_amino_acid_catabolism	0	0	0	6	6
PKA-mediated_phosphorylation_of_CREB	0	0	0	2	2
Metal_ion_SLC_transporters	0	0	0	3	3
Interleukin-2_signaling	0	0	0	37	37
MyD88_dependent_cascade_initiated_on_endosome	0	0	0	18	18
MPS_I_-_Hurler_syndrome	0	0	0	0	0
c-src_mediated_regulation_of_Cx43_function_and_closure_of_gap_junctions	0	0	0	6	6
Glucocorticoid_biosynthesis	0	0	0	2	2
TAK1_activates_NFkB_by_phosphorylation_and_activation_of_IKKs_complex	0	0	0	13	13
Activation_of_the_TFAP2_(AP-2)_family_of_transcription_factors	0	0	0	25	25
Platelet_calcium_homeostasis	0	0	0	0	0
ERKs_are_inactivated	0	0	0	5	5
Synthesis_of_bile_acids_and_bile_salts_via_24-hydroxycholesterol	0	0	0	2	2
Switching_of_origins_to_a_post-replicative_state	0	0	0	2	2
Thyroxine_biosynthesis	0	0	0	3	3
Nucleobase_biosynthesis	0	0	0	0	0
VxPx_cargo-targeting_to_cilium	0	0	0	10	10
Vitamin_D_(calciferol)_metabolism	0	0	0	2	2
ChREBP_activates_metabolic_gene_expression	0	1	0	2	3
Defective_DPM3_causes_DPM3-CDG_(CDG-1o)	0	0	0	0	0
COPI-mediated_anterograde_transport	0	0	0	24	24
Recycling_of_bile_acids_and_salts	0	1	0	4	5
Cargo_recognition_for_clathrin-mediated_endocytosis	0	0	0	32	32
PD-1_signaling	0	0	0	8	8
Breakdown_of_the_nuclear_lamina	0	0	0	0	0
Cellular_responses_to_stress	0	0	0	0	0
Ion_homeostasis	0	2	0	25	27
Synthesis_of_dolichyl-phosphate_mannose	0	0	0	2	2
Cytosolic_iron-sulfur_cluster_assembly	0	0	0	6	6
RNA_Polymerase_II_Promoter_Escape	0	0	0	14	14
Astrocytic_Glutamate-Glutamine_Uptake_And_Metabolism	0	0	0	2	2
Neurotransmitter_clearance	0	0	0	3	3
Intestinal_saccharidase_deficiencies	0	0	0	0	0
Class_C-3_(Metabotropic_glutamate-pheromone_receptors)	0	0	0	15	15
Regulation_of_PTEN_stability_and_activity	0	0	0	13	13
GSD_XV	0	0	0	1	1
Antiviral_mechanism_by_IFN-stimulated_genes	0	0	0	0	0
PIWI-interacting_RNA_(piRNA)_biogenesis	0	0	0	16	16
Glutathione_synthesis_and_recycling	0	0	0	5	5
Presynaptic_function_of_Kainate_receptors	0	0	0	2	2
Zinc_transporters	0	0	0	0	0
Metabolism_of_cofactors	0	0	0	0	0
mRNA_Editing:_C_to_U_Conversion	0	0	0	9	9
SDK_interactions	0	0	0	0	0
G0_and_Early_G1	0	0	0	23	23
Phospholipase_C-mediated_cascade:_FGFR1	0	0	0	3	3
Defective_MMACHC_causes_methylmalonic_aciduria_and_homocystinuria_type_cblC	0	0	0	1	1
Voltage_gated_Potassium_channels	0	0	0	1	1
Transcriptional_activation_of_mitochondrial_biogenesis	0	9	0	23	32
