BP	bp_count	mf_count	complex_count	distinct_protein_count	distinct_chemical_count	distinct_cc_count	distinct_relation_count
Tryptophan_catabolism	3	17	1	12	28	4	6
ATF6_(ATF6-alpha)_activates_chaperone_genes	2	6	3	7	0	4	6
Defective_MMAB_causes_methylmalonic_aciduria_type_cblB	1	1	0	0	5	1	3
Estrogen_biosynthesis	2	9	2	7	16	4	6
Regulation_of_PAK-2p34_activity_by_PS-GAP-RHG10	1	3	3	2	5	1	6
Cellular_hexose_transport	8	18	3	11	6	3	6
HDR_through_Homologous_Recombination_(HRR)	3	5	18	7	10	2	6
Ethanol_oxidation	2	8	1	7	20	2	6
Deactivation_of_the_beta-catenin_transactivating_complex	3	16	38	15	5	2	6
Plasma_lipoprotein_assembly	1	0	0	0	0	0	0
PI3K_Cascade	1	5	8	3	7	4	5
Signaling_by_MST1	1	4	7	3	7	3	5
Tandem_pore_domain_potassium_channels	1	0	0	0	0	0	0
Synthesis_of_PIPs_at_the_plasma_membrane	7	40	46	14	20	5	6
ATF6_(ATF6-alpha)_activates_chaperones	3	8	4	8	0	5	7
Phase_3_-_rapid_repolarisation	1	2	3	0	3	3	4
Reproduction	1	0	0	0	0	0	0
Retrograde_transport_at_the_Trans-Golgi-Network	1	20	59	18	10	4	6
HIV_Transcription_Initiation	1	6	18	1	8	1	6
Defective_POMGNT1_causes_MDDGA3,_MDDGB3_and_MDDGC3	1	1	0	1	3	1	3
Formation_of_HIV_elongation_complex_in_the_absence_of_HIV_Tat	1	7	22	5	5	1	6
Activation_of_anterior_HOX_genes_in_hindbrain_development_during_early_embryogenesis	1	44	95	24	5	2	8
Integration_of_provirus	3	12	31	5	0	3	6
PKA-mediated_phosphorylation_of_key_metabolic_factors	5	7	10	2	8	2	6
PIPs_transport_between_early_endosome_and_Golgi_membranes	3	2	2	0	10	4	6
Synthesis_of_pyrophosphates_in_the_cytosol	10	15	11	3	18	3	6
Organic_cation_transport	1	9	5	3	7	3	4
G1-S_Transition	1	0	0	0	0	0	0
Defective_MUT_causes_methylmalonic_aciduria_mut_type	1	1	0	0	4	1	3
RUNX3_regulates_CDKN1A_transcription	2	9	12	5	0	4	7
TGFBR2_MSI_Frameshift_Mutants_in_Cancer	1	1	1	1	0	2	2
Lectin_pathway_of_complement_activation	1	8	15	1	2	2	5
Intestinal_infectious_diseases	1	1	1	2	0	2	3
Transport_of_connexons_to_the_plasma_membrane	2	1	1	2	0	2	5
BMAL1:CLOCK,NPAS2_activates_circadian_gene_expression	1	23	35	12	9	5	7
Defective_DOLK_causes_DOLK-CDG_(CDG-1m)	1	1	0	0	4	2	2
Synthesis_of_bile_acids_and_bile_salts_via_7alpha-hydroxycholesterol	12	39	5	18	47	7	6
Defective_HLCS_causes_multiple_carboxylase_deficiency	1	4	2	2	6	1	3
Signaling_by_RAS_mutants	1	8	25	0	5	3	5
SEMA3A-Plexin_repulsion_signaling_by_inhibiting_Integrin_adhesion	1	10	15	8	8	3	6
Processive_synthesis_on_the_C-strand_of_the_telomere	7	6	15	2	6	1	6
Loss_of_Function_of_TGFBR2_in_Cancer	1	0	0	0	0	0	0
T41_mutants_of_beta-catenin_aren't_phosphorylated	1	1	1	0	4	1	3
Sema4D_in_semaphorin_signaling	1	0	0	0	0	0	0
PIPs_transport_between_plasma_and_early_endosome_membranes	2	4	2	0	12	3	6
C6_deamination_of_adenosine	1	4	0	2	6	1	6
Signalling_to_ERKs	1	0	0	0	0	0	0
Transport_of_nucleosides_and_free_purine_and_pyrimidine_bases_across_the_plasma_membrane	1	11	4	5	3	5	4
ER_Quality_Control_Compartment_(ERQC)	6	14	39	1	8	7	6
Defective_GALT_can_cause_Galactosemia	1	1	0	0	3	1	3
Signaling_by_NOTCH1	1	0	0	0	0	0	0
Loss_of_MECP2_binding_ability_to_5mC-DNA	1	2	1	0	0	1	3
Signaling_by_NOTCH2	1	0	0	0	0	0	0
Macroautophagy	7	43	104	11	11	6	6
AXIN_missense_mutants_destabilize_the_destruction_complex	1	1	2	4	0	1	3
Signaling_by_NOTCH3	1	0	0	0	0	0	0
O-linked_glycosylation_of_mucins	1	12	29	3	8	2	7
Intraflagellar_transport	1	12	33	24	0	5	6
Signaling_by_NOTCH4	1	0	0	0	0	0	0
Chylomicron_assembly	1	6	11	4	9	5	6
RUNX3_regulates_BCL2L11_(BIM)_transcription	1	3	5	3	0	2	7
Defective_SLC6A19_causes_Hartnup_disorder_(HND)	1	1	0	0	3	1	3
Signaling_by_VEGF	1	0	0	0	0	0	0
Defective_ALG3_causes_ALG3-CDG_(CDG-1d)	1	1	0	0	3	1	3
Translocation_of_SLC2A4_(GLUT4)_to_the_plasma_membrane	1	16	31	12	8	4	7
Activation_of_the_pre-replicative_complex	1	12	31	5	5	1	7
Acetylcholine_regulates_insulin_secretion	2	9	13	5	13	4	5
mRNA_Editing:_A_to_I_Conversion	1	3	0	2	0	1	5
Defective_DPM1_causes_DPM1-CDG_(CDG-1e)	1	1	0	0	4	2	2
Hormone_ligand-binding_receptors	1	6	14	3	0	4	4
Small_interfering_RNA_(siRNA)_biogenesis	1	8	13	1	0	1	6
PI-3K_cascade:FGFR3	2	17	42	4	7	3	6
PI-3K_cascade:FGFR2	2	16	39	4	7	3	6
The_NLRP3_inflammasome	1	19	18	11	6	4	6
tRNA_processing_in_the_nucleus	32	31	17	18	18	5	6
Ephrin_signaling	1	11	25	6	7	2	6
PI-3K_cascade:FGFR4	2	17	42	4	7	3	6
Senescence-Associated_Secretory_Phenotype_(SASP)	3	27	53	11	8	3	7
Abnormal_conversion_of_2-oxoglutarate_to_2-hydroxyglutarate	1	1	0	1	8	1	5
S37_mutants_of_beta-catenin_aren't_phosphorylated	1	1	1	0	4	1	3
PI-3K_cascade:FGFR1	2	16	38	4	7	3	6
Negative_regulation_of_FGFR4_signaling	1	5	15	0	5	3	5
Activation_of_caspases_through_apoptosome-mediated_cleavage	3	26	8	25	5	3	6
Toll_Like_Receptor_9_(TLR9)_Cascade	1	8	6	3	7	7	6
MHC_class_II_antigen_presentation	2	26	75	8	10	15	6
Defective_SLC4A4_causes_renal_tubular_acidosis,_proximal,_with_ocular_abnormalities_and_mental_retardation_(pRTA-OA)	1	1	0	0	4	1	3
Chromatin_modifying_enzymes	1	6	8	2	6	2	6
RNA_Polymerase_II_Transcription	1	0	0	0	0	0	0
Defective_CSF2RA_causes_pulmonary_surfactant_metabolism_dysfunction_4_(SMDP4)	1	1	1	3	0	2	2
Ca-dependent_events	1	0	0	0	0	0	0
Sterols_are_12-hydroxylated_by_CYP8B1	1	9	3	2	23	2	5
The_phototransduction_cascade	1	0	0	0	0	0	0
Toxicity_of_botulinum_toxin_type_C_(BoNT-C)	3	3	3	2	3	5	6
Miscellaneous_substrates	1	5	2	3	19	2	4
Processing_of_DNA_double-strand_break_ends	4	25	70	24	12	1	6
Hyaluronan_biosynthesis_and_export	1	4	3	3	1	3	6
Defective_LARGE_causes_MDDGA6_and_MDDGB6	1	1	0	0	4	1	3
RSK_activation	1	5	7	4	5	3	6
mitochondrial_fatty_acid_beta-oxidation_of_unsaturated_fatty_acids	8	10	7	5	25	3	6
Nuclear_Envelope_Breakdown	1	0	0	0	0	0	0
Inactivation,_recovery_and_regulation_of_the_phototransduction_cascade	2	36	55	13	22	8	8
The_NLRP1_inflammasome	1	4	2	1	6	2	6
PI3K_events_in_ERBB4_signaling	2	4	6	0	7	3	5
Cristae_formation	1	2	4	10	0	4	3
Interferon_alpha-beta_signaling	4	18	45	27	11	8	8
FCERI_mediated_Ca+2_mobilization	5	40	71	17	20	10	7
Nef-mediates_down_modulation_of_cell_surface_receptors_by_recruiting_them_to_clathrin_adapters	1	0	0	0	0	0	0
Biosynthesis_of_DPAn-3-derived_protectins_and_resolvins	3	7	0	2	14	2	6
Peptide_chain_elongation	2	9	18	3	4	1	6
Phospholipid_metabolism	1	0	0	0	0	0	0
Muscarinic_acetylcholine_receptors	1	4	10	0	4	4	4
Defective_GNE_causes_sialuria,_Nonaka_myopathy_and_inclusion_body_myopathy_2	1	2	0	0	8	1	3
Apoptotic_cleavage_of_cellular_proteins	6	19	8	19	5	6	7
Cellular_response_to_hypoxia	1	0	0	0	0	0	0
Negative_regulation_of_FGFR2_signaling	1	5	15	0	5	3	5
tRNA_modification_in_the_nucleus_and_cytosol	33	32	14	20	18	6	6
Disinhibition_of_SNARE_formation	1	3	4	2	9	2	5
Disassembly_of_the_destruction_complex_and_recruitment_of_AXIN_to_the_membrane	3	8	22	6	5	5	7
Regulation_by_TREX1	1	2	1	1	10	2	5
G-protein_mediated_events	1	0	0	0	0	0	0
Regulation_of_TP53_Expression_and_Degradation	1	0	0	0	0	0	0
Stimulation_of_the_cell_death_response_by_PAK-2p34	2	8	6	3	5	4	6
RPIA_deficiency:_failed_conversion_of_RU5P_to_R5P	1	1	0	0	2	1	3
B_Cell_Activation	1	0	0	0	0	0	0
Signalling_to_p38_via_RIT_and_RIN	1	3	7	1	4	3	5
Toll_Like_Receptor_4_(TLR4)_Cascade	2	8	12	4	2	5	6
MTF1_activates_gene_expression	1	4	0	3	0	2	6
mRNA_3'-end_processing	3	6	28	23	8	1	6
Serine_biosynthesis	1	7	1	4	18	2	6
SUMOylation_of_SUMOylation_proteins	1	7	22	4	0	3	7
Activated_PKN1_stimulates_transcription_of_AR_(androgen_receptor)_regulated_genes_KLK2_and_KLK3	1	12	30	6	11	4	7
Biosynthesis_of_the_N-glycan_precursor_(dolichol_lipid-linked_oligosaccharide,_LLO)_and_transfer_to_a_nascent_protein	1	17	2	13	34	4	5
NF-kB_is_activated_and_signals_survival	1	6	15	2	5	4	6
Synthesis_of_(16-20)-hydroxyeicosatetraenoic_acids_(HETE)	1	4	3	1	14	3	5
Hydroxycarboxylic_acid-binding_receptors	1	4	3	3	4	3	4
G1_Phase	1	0	0	0	0	0	0
Norepinephrine_Neurotransmitter_Release_Cycle	3	9	15	10	20	10	6
Activation_of_HOX_genes_during_differentiation	1	0	0	0	0	0	0
Nucleotide-binding_domain,_leucine_rich_repeat_containing_receptor_(NLR)_signaling_pathways	1	0	0	0	0	0	0
NTRK3_as_a_dependence_receptor	2	3	4	3	0	3	7
Activation_of_NIMA_Kinases_NEK9,_NEK6,_NEK7	1	7	15	4	8	3	6
Serotonin_Neurotransmitter_Release_Cycle	2	5	10	8	12	5	6
Fatty_acyl-CoA_biosynthesis	1	15	5	10	33	6	6
Calnexin-calreticulin_cycle	2	8	20	2	7	4	6
Cooperation_of_PDCL_(PhLP1)_and_TRiC-CCT_in_G-protein_beta_folding	1	17	44	2	6	3	6
Pre-NOTCH_Processing_in_Golgi	2	24	38	15	8	8	6
Reversal_of_alkylation_damage_by_DNA_dioxygenases	1	1	1	0	12	1	5
SUMOylation_of_intracellular_receptors	1	28	63	27	0	1	7
Plasmalogen_biosynthesis	2	6	3	2	17	4	6
Cell-cell_junction_organization	1	0	0	0	0	0	0
Incretin_synthesis,_secretion,_and_inactivation	1	0	0	0	0	0	0
Signalling_to_ERK5	2	3	5	2	5	2	6
Adenosine_P1_receptors	1	4	9	0	4	3	4
Toll-like_Receptor_Cascades	1	0	0	0	0	0	0
Defective_pro-SFTPB_causes_pulmonary_surfactant_metabolism_dysfunction_1_(SMDP1)_and_respiratory_distress_syndrome_(RDS)	1	1	1	0	0	1	3
NTF3_activates_NTRK3_signaling	4	7	17	4	8	3	5
TWIK_related_potassium_channel_(TREK)	1	1	1	0	3	3	4
RAF-independent_MAPK1-3_activation	2	18	37	9	8	4	7
Negative_regulation_of_FGFR3_signaling	1	5	15	0	5	3	5
Defective_SLC16A1_causes_symptomatic_deficiency_in_lactate_transport_(SDLT)	1	1	0	0	2	1	3
Reuptake_of_GABA	1	2	1	1	5	3	4
Defective_TBXAS1_causes_Ghosal_hematodiaphyseal_dysplasia_(GHDD)	1	1	0	0	3	1	3
Variant_SLC6A20_contributes_towards_hyperglycinuria_(HG)_and_iminoglycinuria_(IG)	1	1	0	0	4	1	3
Mitochondrial_biogenesis	1	0	0	0	0	0	0
Signaling_by_NOTCH1_in_Cancer	1	0	0	0	0	0	0
Nuclear_Receptor_transcription_pathway	1	1	2	1	0	1	4
Potassium_transport_channels	1	1	1	0	3	3	4
Metabolic_disorders_of_biological_oxidation_enzymes	1	0	0	0	0	0	0
Effects_of_PIP2_hydrolysis	1	15	24	3	16	5	6
RHO_GTPases_Activate_WASPs_and_WAVEs	1	18	39	6	11	3	6
RUNX1_regulates_transcription_of_genes_involved_in_differentiation_of_keratinocytes	1	9	14	6	0	3	7
Regulation_of_PTEN_localization	3	2	3	2	5	2	6
Nuclear_Pore_Complex_(NPC)_Disassembly	1	4	13	1	8	3	5
Fcgamma_receptor_(FCGR)_dependent_phagocytosis	1	0	0	0	0	0	0
Sema3A_PAK_dependent_Axon_repulsion	1	7	14	3	5	3	6
MAP_kinase_activation	1	0	0	0	0	0	0
FCERI_mediated_MAPK_activation	1	31	62	10	8	4	7
Beta_oxidation_of_decanoyl-CoA_to_octanoyl-CoA-CoA	3	10	7	5	24	3	6
Gamma-carboxylation,_transport,_and_amino-terminal_cleavage_of_proteins	1	0	0	0	0	0	0
The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport	1	0	0	0	0	0	0
Formation_of_Incision_Complex_in_GG-NER	7	12	34	8	10	1	6
Smooth_Muscle_Contraction	1	23	43	10	11	8	7
Disorders_of_transmembrane_transporters	1	0	0	0	0	0	0
DAP12_signaling	1	23	55	8	9	3	5
Regulation_of_signaling_by_NODAL	1	4	7	1	0	2	6
Transport_of_organic_anions	1	11	0	12	12	4	5
Vitamins_B6_activation_to_pyridoxal_phosphate	1	6	0	3	17	1	6
RAB_GEFs_exchange_GTP_for_GDP_on_RABs	2	23	71	14	7	13	6
Inhibition_of_Interferon_Synthesis	1	0	0	0	0	0	0
Signal_regulatory_protein_family_interactions	1	11	17	9	5	3	6
AMER1_mutants_destabilize_the_destruction_complex	1	0	0	0	0	0	0
Heme_degradation	3	6	2	2	20	5	6
DNA_Damage_Recognition_in_GG-NER	2	6	19	2	6	1	6
Defective_GCLC_causes_Hemolytic_anemia_due_to_gamma-glutamylcysteine_synthetase_deficiency_(HAGGSD)	1	1	0	0	7	1	3
Nucleotide-like_(purinergic)_receptors	1	0	0	0	0	0	0
Nonsense_Mediated_Decay_(NMD)_enhanced_by_the_Exon_Junction_Complex_(EJC)	1	5	16	8	5	2	6
Chylomicron_remodeling	1	6	14	5	5	3	6
Integrin_alphaIIb_beta3_signaling	1	25	60	11	15	3	6
Tristetraprolin_(TTP,_ZFP36)_binds_and_destabilizes_mRNA	2	5	13	7	5	3	7
Adrenaline_signalling_through_Alpha-2_adrenergic_receptor	1	2	5	0	0	3	5
Organic_anion_transporters	2	15	2	10	24	10	5
RNA_Polymerase_III_Transcription	1	0	0	0	0	0	0
Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.	1	0	0	0	0	0	0
Acetylation	1	4	0	2	5	1	6
Eukaryotic_Translation_Termination	4	6	14	3	11	1	6
SMAD4_MH2_Domain_Mutants_in_Cancer	1	1	2	0	0	1	3
Regulation_of_actin_dynamics_for_phagocytic_cup_formation	1	35	76	11	11	4	6
NOTCH1_Intracellular_Domain_Regulates_Transcription	4	21	50	8	5	2	7
Defective_EXT1_causes_exostoses_1,_TRPS2_and_CHDS	1	4	4	0	4	1	3
Deadenylation-dependent_mRNA_decay	1	0	0	0	0	0	0
TFAP2_(AP-2)_family_regulates_transcription_of_growth_factors_and_their_receptors	1	19	19	12	0	4	8
Chromosome_Maintenance	1	0	0	0	0	0	0
GSD_Ia	1	1	0	0	6	1	3
Defective_CP_causes_aceruloplasminemia_(ACERULOP)	1	1	0	0	8	1	3
CREB_phosphorylation_through_the_activation_of_Adenylate_Cyclase	1	5	5	1	9	4	6
N-glycan_trimming_in_the_ER_and_Calnexin-Calreticulin_cycle	2	7	17	3	8	6	6
SLC-mediated_transmembrane_transport	1	0	0	0	0	0	0
GSD_IV	1	1	1	0	0	1	3
rRNA_processing	1	0	0	0	0	0	0
Defective_RFT1_causes_RFT1-CDG_(CDG-1n)	1	1	0	0	1	1	3
SMAD2-SMAD3:SMAD4_heterotrimer_regulates_transcription	2	36	75	22	5	6	8
Glycoprotein_hormones	1	7	9	6	4	4	7
TRAIL_signaling	3	12	21	7	0	4	6
Defective_DPM2_causes_DPM2-CDG_(CDG-1u)	1	1	0	0	4	2	2
NS1_Mediated_Effects_on_Host_Pathways	2	2	4	1	0	3	5
Extrinsic_Pathway_of_Fibrin_Clot_Formation	1	11	9	8	2	2	6
GSD_II	1	1	0	1	5	1	3
Ion_channel_transport	1	1	2	1	0	2	3
FBXL7_down-regulates_AURKA_during_mitotic_entry_and_in_early_mitosis	7	6	15	5	0	1	6
COPI-dependent_Golgi-to-ER_retrograde_traffic	1	11	39	6	7	4	5
BBSome-mediated_cargo-targeting_to_cilium	1	5	12	11	0	5	7
RNA_Polymerase_III_Transcription_Initiation_From_Type_2_Promoter	3	6	14	0	0	1	6
Signaling_by_cytosolic_FGFR1_fusion_mutants	1	15	28	5	7	3	7
Scavenging_by_Class_F_Receptors	1	2	3	1	0	4	5
Class_A-1_(Rhodopsin-like_receptors)	3	16	14	10	13	4	4
RNA_Pol_II_CTD_phosphorylation_and_interaction_with_CE	1	7	16	3	7	1	6
Interleukin-6_family_signaling	1	0	0	0	0	0	0
Synthesis_of_DNA	1	0	0	0	0	0	0
SMAD2-3_Phosphorylation_Motif_Mutants_in_Cancer	1	2	3	1	4	4	5
Cytosolic_sensors_of_pathogen-associated_DNA	1	4	4	3	5	1	6
Transport_of_bile_salts_and_organic_acids,_metal_ions_and_amine_compounds	1	9	5	4	18	5	5
P2Y_receptors	1	16	10	12	9	4	5
Phosphorylation_of_proteins_involved_in_the_G2-M_transition_by_Cyclin_A:Cdc2_complexes	1	3	4	1	8	1	6
PI3K-AKT_Signaling_in_Cancer	1	0	0	0	0	0	0
Multifunctional_anion_exchangers	1	7	4	3	13	3	5
Synthesis_of_Hepoxilins_(HX)_and_Trioxilins_(TrX)	2	3	0	2	12	3	6
Intra-Golgi_and_retrograde_Golgi-to-ER_traffic	1	0	0	0	0	0	0
Interleukin-38_signaling	1	5	4	4	5	3	7
PIPs_transport_between_Golgi_and_plasma_membranes	2	7	6	0	12	3	6
RUNX1_regulates_transcription_of_genes_involved_in_differentiation_of_HSCs	2	16	28	10	8	2	8
Beta_oxidation_of_butanoyl-CoA_to_acetyl-CoA	2	8	7	4	25	3	6
Defective_SLC12A6_causes_agenesis_of_the_corpus_callosum,_with_peripheral_neuropathy_(ACCPN)	1	1	0	0	4	1	3
Loss_of_Function_of_TGFBR1_in_Cancer	1	0	0	0	0	0	0
Bile_acid_and_bile_salt_metabolism	1	0	0	0	0	0	0
NGF_processing	3	4	2	2	0	4	6
Defective_CYP21A2_causes_Adrenal_hyperplasia_3_(AH3)	1	1	0	0	8	1	3
Diseases_associated_with_glycosylation_precursor_biosynthesis	1	0	0	0	0	0	0
Ion_influx-efflux_at_host-pathogen_interface	1	2	1	2	10	4	4
Abasic_sugar-phosphate_removal_via_the_single-nucleotide_replacement_pathway	2	4	5	2	2	1	6
2-LTR_circle_formation	2	4	15	1	0	2	6
Activation_of_NOXA_and_translocation_to_mitochondria	3	10	8	8	5	3	7
TP53_Regulates_Transcription_of_Genes_Involved_in_G1_Cell_Cycle_Arrest	4	27	27	15	8	2	8
Protein_ubiquitination	1	0	0	0	0	0	0
Myogenesis	1	0	0	0	0	0	0
Activation_of_Ca-permeable_Kainate_Receptor	1	2	3	0	5	3	5
CREB_phosphorylation_through_the_activation_of_Ras	1	6	8	4	5	3	6
Gene_and_protein_expression_by_JAK-STAT_signaling_after_Interleukin-12_stimulation	3	36	0	38	0	12	7
Defective_SLC12A3_causes_Gitelman_syndrome_(GS)	1	1	0	0	4	1	3
Cyclin_D_associated_events_in_G1	1	38	82	8	8	2	7
Defective_SLC2A10_causes_arterial_tortuosity_syndrome_(ATS)	1	1	0	0	3	1	3
Platelet_Aggregation_(Plug_Formation)	1	2	3	3	0	2	3
Post-translational_protein_phosphorylation	1	1	4	0	5	1	5
Negative_regulation_of_FGFR1_signaling	1	6	16	2	5	3	5
Defective_GALE_can_cause_Epimerase-deficiency_galactosemia_(EDG)	1	1	0	0	3	1	3
Negative_regulation_of_MAPK_pathway	2	10	22	4	6	4	6
Transcription_of_E2F_targets_under_negative_control_by_DREAM_complex	1	20	41	6	6	1	8
mRNA_Capping	3	17	46	7	11	1	6
Defective_MTR_causes_methylmalonic_aciduria_and_homocystinuria_type_cblG	1	2	2	0	5	1	3
Purine_catabolism	1	23	1	18	36	4	6
Global_Genome_Nucleotide_Excision_Repair_(GG-NER)	1	0	0	0	0	0	0
Defective_SLC22A18_causes_lung_cancer_(LNCR)_and_embryonal_rhabdomyosarcoma_1_(RMSE1)	1	1	0	0	2	2	2
Orc1_removal_from_chromatin	2	3	7	1	5	2	6
Nuclear_import_of_Rev_protein	1	10	14	7	4	3	6
Potassium_Channels	1	0	0	0	0	0	0
Transport_of_glycerol_from_adipocytes_to_the_liver_by_Aquaporins	1	2	0	2	5	3	5
Interleukin-6_signaling	1	22	54	8	5	4	7
Conjugation_of_salicylate_with_glycine	1	2	2	0	12	1	6
Meiosis	1	0	0	0	0	0	0
Biosynthesis_of_EPA-derived_SPMs	1	4	0	2	15	2	5
Bloch_pathway	1	6	0	6	15	3	6
Fatty_acid_metabolism	1	0	0	0	0	0	0
Beta-oxidation_of_very_long_chain_fatty_acids	3	14	1	10	29	3	6
Tachykinin_receptors_bind_tachykinins	1	3	3	5	0	2	3
Activation_of_CaMK_IV	1	5	7	3	6	2	6
Biosynthesis_of_specialized_proresolving_mediators_(SPMs)	1	0	0	0	0	0	0
Signaling_by_FGFR2_IIIa_TM	1	2	3	1	3	3	6
Hedgehog_'on'_state	3	26	58	9	5	9	7
Cleavage_of_the_damaged_pyrimidine	1	42	5	9	12	1	6
Constitutive_Signaling_by_NOTCH1_HD+PEST_Domain_Mutants	1	21	48	10	5	4	7
Transport_of_Ribonucleoproteins_into_the_Host_Nucleus	6	7	13	8	2	5	6
Wax_biosynthesis	2	6	1	4	19	4	6
Acetylcholine_Neurotransmitter_Release_Cycle	2	11	16	11	22	8	6
Processing_of_SMDT1	1	6	10	4	2	3	6
Synthesis_of_PIPs_at_the_late_endosome_membrane	3	8	8	2	14	4	6
Reactions_specific_to_the_complex_N-glycan_synthesis_pathway	1	8	4	8	22	4	6
Mitotic_G1-G1-S_phases	1	0	0	0	0	0	0
NF-kB_activation_through_FADD-RIP-1_pathway_mediated_by_caspase-8_and_-10	1	7	18	5	0	3	5
Signaling_by_NOTCH1_HD+PEST_Domain_Mutants_in_Cancer	1	0	0	0	0	0	0
Post-transcriptional_silencing_by_small_RNAs	1	7	14	1	0	1	6
rRNA_modification_in_the_nucleus_and_cytosol	7	9	7	5	12	2	6
Endosomal-Vacuolar_pathway	1	5	7	0	5	3	6
Toxicity_of_botulinum_toxin_type_D_(BoNT-D)	1	5	7	3	2	5	6
Polo-like_kinase_mediated_events	5	22	26	13	8	3	7
RNA_Polymerase_I_Promoter_Escape	1	2	6	1	0	1	6
Receptor-type_tyrosine-protein_phosphatases	1	6	10	5	0	2	4
tRNA_modification_in_the_mitochondrion	9	9	2	8	11	3	6
AMPK_inhibits_chREBP_transcriptional_activation_activity	1	6	11	3	6	4	7
Loss_of_Function_of_FBXW7_in_Cancer_and_NOTCH1_Signaling	1	1	1	1	0	1	3
Downregulation_of_ERBB2_signaling	3	8	12	5	8	3	5
Misspliced_GSK3beta_mutants_stabilize_beta-catenin	1	1	1	0	0	1	3
Defective_SLC2A2_causes_Fanconi-Bickel_syndrome_(FBS)	1	1	0	0	0	1	3
SeMet_incorporation_into_proteins	1	1	1	0	8	1	5
Constitutive_Signaling_by_Aberrant_PI3K_in_Cancer	1	2	2	0	7	3	4
Syndecan_interactions	1	15	26	11	3	3	6
Enzymatic_degradation_of_Dopamine_by_monoamine_oxidase	1	2	0	2	11	3	5
Signaling_by_EGFRvIII_in_Cancer	1	0	0	0	0	0	0
Defective_SLC35A1_causes_congenital_disorder_of_glycosylation_2F_(CDG2F)	1	1	0	0	4	2	2
PKMTs_methylate_histone_lysines	1	22	50	7	6	2	6
RUNX3_regulates_YAP1-mediated_transcription	2	6	14	6	0	4	8
Selenoamino_acid_metabolism	1	0	0	0	0	0	0
Signaling_by_Hedgehog	1	0	0	0	0	0	0
Host_Interactions_with_Influenza_Factors	1	0	0	0	0	0	0
Regulation_of_cytoskeletal_remodeling_and_cell_spreading_by_IPP_complex_components	1	5	5	8	0	2	4
trans-Golgi_Network_Vesicle_Budding	1	0	0	0	0	0	0
Nicotinate_metabolism	1	19	0	14	31	6	6
Regulation_of_PTEN_mRNA_translation	2	23	59	4	12	3	7
TNFR1-mediated_ceramide_production	1	5	11	4	0	3	5
Platelet_activation,_signaling_and_aggregation	1	0	0	0	0	0	0
Signaling_by_PDGF	2	22	55	9	8	6	6
Oligomerization_of_connexins_into_connexons	4	5	3	3	0	6	6
truncated_APC_mutants_destabilize_the_destruction_complex	1	0	0	0	0	0	0
MAPK3_(ERK1)_activation	1	6	13	4	5	3	7
FGFRL1_modulation_of_FGFR1_signaling	1	2	4	1	3	3	3
Resolution_of_Sister_Chromatid_Cohesion	3	11	28	2	10	4	6
Signaling_by_FGFR3_point_mutants_in_cancer	1	10	21	3	9	3	6
B-WICH_complex_positively_regulates_rRNA_expression	1	3	9	11	5	1	6
Cyclin_E_associated_events_during_G1-S_transition	6	24	54	9	8	3	8
RNA_Polymerase_II_HIV_Promoter_Escape	1	11	38	1	3	1	6
Homologous_DNA_Pairing_and_Strand_Exchange	2	5	12	4	5	2	6
Regulation_of_necroptotic_cell_death	1	4	12	2	0	3	6
DNA_replication_initiation	1	5	17	0	6	1	6
Synaptic_adhesion-like_molecules	1	8	16	6	0	2	4
Interleukin-21_signaling	1	6	12	3	5	3	5
Integration_of_viral_DNA_into_host_genomic_DNA	2	4	6	1	0	2	6
Transcriptional_regulation_of_white_adipocyte_differentiation	1	20	27	29	0	5	8
AKT_phosphorylates_targets_in_the_cytosol	13	13	22	9	5	3	6
NRIF_signals_cell_death_from_the_nucleus	2	8	15	6	5	4	6
vRNP_Assembly	3	4	6	6	0	2	6
GLI_proteins_bind_promoters_of_Hh_responsive_genes_to_promote_transcription	1	6	9	1	5	3	7
Integration_of_energy_metabolism	2	6	5	3	12	2	6
Defective_SLCO1B3_causes_hyperbilirubinemia,_Rotor_type_(HBLRR)	1	1	0	1	0	1	3
Tight_junction_interactions	1	3	5	4	0	3	4
RHO_GTPases_Activate_ROCKs	1	13	36	3	10	2	7
RUNX2_regulates_chondrocyte_maturation	1	7	14	4	5	3	7
Transcriptional_regulation_by_the_AP-2_(TFAP2)_family_of_transcription_factors	1	4	6	3	0	2	7
UNC93B1_deficiency_-_HSE	1	1	0	1	0	1	3
Defective_B3GAT3_causes_JDSSDHD	1	1	1	0	3	1	3
Advanced_glycosylation_endproduct_receptor_signaling	1	4	9	2	0	3	6
NOTCH4_Activation_and_Transmission_of_Signal_to_the_Nucleus	9	7	6	6	5	4	6
ALKBH2_mediated_reversal_of_alkylation_damage	1	6	0	1	10	1	6
Glucagon-like_Peptide-1_(GLP1)_regulates_insulin_secretion	1	17	39	8	11	6	7
Mitochondrial_translation_elongation	1	10	21	5	5	2	6
PTEN_Regulation	1	0	0	0	0	0	0
Intracellular_signaling_by_second_messengers	1	0	0	0	0	0	0
FGFR2_mutant_receptor_activation	1	0	0	0	0	0	0
Type_II_Na+-Pi_cotransporters	1	2	1	1	5	3	4
PCNA-Dependent_Long_Patch_Base_Excision_Repair	1	7	19	4	5	1	6
