Reactome node type	Reactome Label	Reactome Id	Curator asserted GO types	Rule-assigned types	Inferred GO types
Complex	Glc,Fuc-Pre-NOTCH	R-HSA-1911442 			GO_0098796: membrane protein complex,
Complex	JAG1:NOTCH1	R-HSA-157008 			
Complex	DLL1:NOTCH3	R-HSA-157136 			
Complex	MDK:NOTCH2	R-HSA-2974762 			
Biological Process	Reversal of alkylation damage by DNA dioxygenases	R-HSA-73943 	GO_0006307: DNA dealkylation involved in DNA repair,		GO_0046085: adenosine metabolic process,GO_0006082: organic acid metabolic process,GO_0046292: formaldehyde metabolic process,
Molecular Function	RNA demethylases demethylate N6-methyladenosine RNA	R-HSA-8857692 	GO_0035515: oxidative RNA demethylase activity,		
Complex	RNA demethylases	R-HSA-8857697 			GO_1902494: catalytic complex,
Biological Process	SUMOylation of intracellular receptors	R-HSA-4090294 			
Molecular Function	PIAS4 SUMOylates VDR with SUMO2	R-HSA-4546387 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	SUMOylation of RARA with SUMO2	R-HSA-4341072 	GO_0019789: SUMO transferase activity,		
Molecular Function	PIAS3 SUMOylates PGR with SUMO1	R-HSA-4341073 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	SUMOylation of RXRA with SUMO1	R-HSA-4341048 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	PIAS2,3,4 SUMOylate RORA with SUMO2	R-HSA-4719413 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	PIAS2,3,4 SUMOylate RORA with SUMO1	R-HSA-4719436 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	PIAS1,2-2 SUMOylate PPARG with SUMO1	R-HSA-4717461 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	PIAS4 SUMOylates PPARA with SUMO1	R-HSA-4341070 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	PIAS1,2-1 SUMOylate NR5A2 with SUMO1	R-HSA-4755494 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	PIAS4 SUMOylates NR4A2 with SUMO2,3	R-HSA-4755526 	GO_0019789: SUMO transferase activity,		
Molecular Function	PIAS1 SUMOylates NR3C2 (Mineralcorticoid Receptor) with SUMO1	R-HSA-4341016 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	SUMOylation of NR3C1 (GR) with SUMO1	R-HSA-4341025 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	PIAS1,3 SUMOylates NR5A1 with SUMO2	R-HSA-4546385 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	PIAS1,3 SUMOylates NR5A1 with SUMO1	R-HSA-4546386 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	Transfer of SUMO3 from E1 to UBE2I (UBC9)	R-HSA-2993769 	GO_0019789: SUMO transferase activity,		
Molecular Function	Transfer of SUMO2 from E1 to UBE2I (UBC9)	R-HSA-2993790 	GO_0019789: SUMO transferase activity,		
Molecular Function	Transfer of SUMO1 from E1 to UBE2I (UBC9)	R-HSA-2993780 	GO_0019789: SUMO transferase activity,		
Molecular Function	PIAS1 SUMOylates NR2C1 (TR2)	R-HSA-4717521 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	SUMOylation of NR1I2 with SUMO3	R-HSA-4755524 			
Molecular Function	PIAS1 SUMOylates THRB with SUMO3	R-HSA-4719448 	GO_0019789: SUMO transferase activity,		GO_0098772: molecular function regulator,
Molecular Function	PIAS1,3 SUMOylate ESR1 with SUMO1	R-HSA-4090408 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	PIAS1,2-1 SUMOylates AR with SUMO1	R-HSA-4090390 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	HDAC4 SUMOylates NR1H3 (LXRalpha) with SUMO2,3	R-HSA-4720446 	GO_0019789: SUMO transferase activity,		
Molecular Function	HDAC4 SUMOylates NR1H2 (LXRbeta) with SUMO2,3	R-HSA-4720432 	GO_0019789: SUMO transferase activity,		
Molecular Function	PIAS2-2 SUMOylates THRA with SUMO3	R-HSA-4719423 	GO_0019789: SUMO transferase activity,		GO_0098772: molecular function regulator,
Molecular Function	PIAS2-2 SUMOylates THRA with SUMO1	R-HSA-4719447 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	PIAS1 SUMOylates THRB with SUMO1.	R-HSA-4719424 	GO_0019789: SUMO transferase activity,		GO_0004857: enzyme inhibitor activity,
Molecular Function	SUMOylation of NR1H4 with SUMO1	R-HSA-4755419 		GO_0005515: protein binding,	
Complex	UBC9_HUMAN	R-HSA-2993782 			
Complex	SUMO E1 enzyme	R-HSA-2993775 			
Complex	SUMO1:C93-UBE2I	R-HSA-2993783 			GO_1990234: transferase complex,
Complex	UBA2:SAE1	R-HSA-2990843 			GO_1990234: transferase complex,
Complex	PIAS1,3	R-HSA-4086016 			GO_1990234: transferase complex,
Complex	UBC9_HUMAN	R-HSA-2993778 			GO_1990234: transferase complex,
Complex	SUMO1:PPARA	R-HSA-4341053 			
Complex	PIAS1,2-1	R-HSA-4090382 			GO_1990234: transferase complex,
Complex	PIAS2-2,PIAS3,PIAS4	R-HSA-9610513 			GO_1990234: transferase complex,
Complex	SUMO1:RORA	R-HSA-4719452 			
Complex	UBE2I:SUMO2,UBE2I:SUMO3	R-HSA-3899312 			
Complex	2SUMO1:FXR:chenodeoxycholate	R-HSA-4755409 			
Complex	3SUMO1:THRB	R-HSA-4719435 			
Complex	2SUMO1:NR5A1	R-HSA-4546374 			
Complex	5SUMO1:ESR1	R-HSA-4090338 			
Complex	SUMO1:RXRA	R-HSA-4341089 			
Complex	PIAS1,2-2	R-HSA-4717502 			GO_1990234: transferase complex,
Complex	4SUMO1:NR3C2	R-HSA-4341117 			
Complex	2SUMO1:NR3C1:DEXA	R-HSA-4341015 			
Complex	2SUMO1:PPARG	R-HSA-4717494 			
Complex	SUMO E1 enzyme	R-HSA-2993793 			
Complex	2SUMO1:THRA-2	R-HSA-4719400 			
Complex	2SUMO1:AR	R-HSA-4090282 			
Complex	SUMO1:NR2C1	R-HSA-4717483 			
Complex	SUMO E1 enzyme	R-HSA-2993762 			
Complex	3SUMO1:PGR	R-HSA-4341081 			
Complex	SUMO1:NR5A2:cis-bicyclo(3.3.0)oct-2-ene	R-HSA-4755410 			
Biological Process	Movement of O-hexadecylglycerone phosphate from the peroxisomal matrix to the cytosol	R-HSA-390402 		GO_0045184: establishment of protein localization,	
Biological Process	Plasmalogen biosynthesis	R-HSA-75896 	GO_0008611: ether lipid biosynthetic process,		GO_0042180: cellular ketone metabolic process,GO_1903173: fatty alcohol metabolic process,GO_0035336: long-chain fatty-acyl-CoA metabolic process,GO_0052646: alditol phosphate metabolic process,GO_1900533: palmitic acid metabolic process,GO_0034308: primary alcohol metabolic process,GO_0015936: coenzyme A metabolic process,GO_0006739: NADP metabolic process,
Molecular Function	1-palmitoylglycerone phosphate + hexadecanol => O-hexadecylglycerone phosphate + palmitate	R-HSA-390427 	GO_0008609: alkylglycerone-phosphate synthase activity,		
Molecular Function	palmitoyl-CoA + DHAP => 1-palmitoylglycerone phosphate + CoASH	R-HSA-75879 	GO_0016287: glycerone-phosphate O-acyltransferase activity,		
Molecular Function	FAR2 reduces PalmCoA to HXOL	R-HSA-390438 	GO_0016491: oxidoreductase activity,		
Molecular Function	FAR1 reduces PalmCoA to HXOL	R-HSA-390425 	GO_0016491: oxidoreductase activity,		
Molecular Function	1-acyl LPA is acylated to PA by AGPAT (LPAAT)	R-HSA-75885 	GO_0003841: 1-acylglycerol-3-phosphate O-acyltransferase activity,		
Molecular Function	Conversion of acylated DHAP to lysophosphatidic acid acid	R-HSA-75883 	GO_0000140: acylglycerone-phosphate reductase activity,		
Complex	AGPAT	R-HSA-1500583 			GO_1990234: transferase complex,
Complex	GNPAT:AGPS complex	R-HSA-76165 			GO_1990234: transferase complex,GO_1902493: acetyltransferase complex,
Biological Process	Cell-cell junction organization	R-HSA-421270 	GO_0045216: cell-cell junction organization,		
Biological Process	Incretin synthesis, secretion, and inactivation	R-HSA-400508 	GO_0050796: regulation of insulin secretion,		
Biological Process	Signalling to ERK5	R-HSA-198765 			
Biological Process	ERK5 translocates to the nucleus	R-HSA-198714 		GO_0045184: establishment of protein localization,	GO_1990173: protein localization to nucleoplasm,
Molecular Function	ERK1/2/5 activate RSK1/2/3	R-HSA-198746 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	ERK5 is activated	R-HSA-198733 	GO_0004707: MAP kinase activity,		
Molecular Function	ERK5 activates the transcription factor MEF2	R-HSA-199929 	GO_0004674: protein serine/threonine kinase activity,		
Complex	p-ERK1/2/5 dimers	R-HSA-199878 			GO_1902554: serine/threonine protein kinase complex,
Complex	Ribosomal protein S6 kinase	R-HSA-199858 			
Complex	Phospho-Ribosomal protein S6 kinase	R-HSA-199849 			
Complex	p-MEF2	R-HSA-199933 			
Complex	MEF2	R-HSA-199911 			
Biological Process	Adenosine P1 receptors	R-HSA-417973 			
Molecular Function	Liganded Gi-activating GPCRs bind inactive heterotrimeric G-protein Gi	R-HSA-749456 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Liganded Gs-activating GPCRs bind inactive heterotrimeric Gs	R-HSA-744887 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	ADORA2A,B bind Ade-Rib	R-HSA-418925 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,GO_0008144: drug binding,GO_0032550: purine ribonucleoside binding,
Molecular Function	A1 and A3 receptors bind adenosine	R-HSA-418904 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,GO_0008144: drug binding,GO_0032550: purine ribonucleoside binding,
Complex	Heterotrimeric G-protein Gi (inactive)	R-HSA-392165 			
Complex	Heterotrimeric G-protein Gs (inactive)	R-HSA-391179 			
Complex	Ligand:GPCR complexes that activate Gs:Heterotrimeric G-protein Gs (inactive)	R-HSA-744885 			
Complex	ADORA2A,B:Ade-Rib	R-HSA-418926 			
Complex	Ligand:GPCR complexes that activate Gi:Heterotrimeric G-protein Gi (inactive)	R-HSA-749455 			
Complex	ADORA1,3:Ade-Rib	R-HSA-418897 			
Complex	Ligand:GPCR complexes that activate Gi	R-HSA-380091 			
Complex	ADORA1,3	R-HSA-418922 			
Complex	ADORA2A,B	R-HSA-418907 			
Biological Process	Toll-like Receptor Cascades	R-HSA-168898 	GO_0002224: toll-like receptor signaling pathway,		
Biological Process	Defective pro-SFTPB causes pulmonary surfactant metabolism dysfunction 1 (SMDP1) and respiratory distress syndrome (RDS)	R-HSA-5688031 			
Molecular Function	CCDC59:TTF1:SFTPB mutant gene does not produce pro-SFTPB protein	R-HSA-5688025 			
Complex	CCDC59:TTF1:SFTPB mutants	R-HSA-5688019 			
Biological Process	reaction:NTF3 binds NTRK3: is xrefed to this process	R-HSA-9034016 	GO_0051388: positive regulation of neurotrophin TRK receptor signaling pathway,		
Biological Process	reaction:Protein tyrosine phosphatases dephosphorylate NTRK3: is xrefed to this process	R-HSA-9603719 	GO_0051387: negative regulation of neurotrophin TRK receptor signaling pathway,		
Biological Process	reaction:NTRK3 dimers trans-autophosphorylate: is xrefed to this process	R-HSA-9034714 	GO_0051388: positive regulation of neurotrophin TRK receptor signaling pathway,		
Biological Process	NTF3 activates NTRK3 signaling	R-HSA-9034013 	GO_0051388: positive regulation of neurotrophin TRK receptor signaling pathway,		
Molecular Function	Activated NTRK3 binds IRS1	R-HSA-9603437 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Activated NTRK3 binds SRC	R-HSA-9603419 		GO_0005515: protein binding,	
Molecular Function	Activated NTRK3 binds PI3K	R-HSA-9603407 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	NTRK3 dimers trans-autophosphorylate	R-HSA-9034714 	GO_0004713: protein tyrosine kinase activity,		
Molecular Function	Activated NTRK3 binds SHC1	R-HSA-9034862 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	NTF3 binds NTRK3	R-HSA-9034016 		GO_0005515: protein binding,	
Molecular Function	Protein tyrosine phosphatases dephosphorylate NTRK3	R-HSA-9603719 	GO_0004725: protein tyrosine phosphatase activity,		
Complex	PIK3CA:PIK3R1	R-HSA-1806218 			
Complex	NTF3:p-5Y-NTKR3 homodimer:MyrG-SRC	R-HSA-9603421 			
Complex	NTF3:p-5Y-NTRK3 homodimer	R-HSA-9034727 			
Complex	NTF3:p-5Y-NTRK3 homodimer:SHC1	R-HSA-9034865 			
Complex	(NTF3:p-5Y-NTRK3 homodimer,NTF3:p-5Y-NTRK3 homodimer:MyrG-p-Y419-SRC)	R-HSA-9603433 			
Complex	NTF3:NTRK3 homodimer	R-HSA-9034025 			GO_1902911: protein kinase complex,
Complex	(NTF3:p-5Y-NTRK3 homodimer,NTF3:p-5Y-NTRK3 homodimer:MyrG-p-Y419-SRC):IRS1	R-HSA-9603435 			
Complex	NTF3:p-5Y-NTRK3 homodimer:PI3K	R-HSA-9603404 			
Complex	SHC1 p46,p52	R-HSA-1169480 			
Complex	(PTPRO,PTPRS)	R-HSA-9603724 			GO_1904096: protein tyrosine phosphatase complex,
Biological Process	TWIK related potassium channel (TREK)	R-HSA-1299503 			
Molecular Function	Activation of TWIK-related K+ channel (TREK)	R-HSA-1296348 	GO_0005267: potassium channel activity,		
Complex	TREK homodimers	R-HSA-1299260 			GO_0034705: potassium channel complex,
Biological Process	Phosphorylated MAPKs translocate into the nucleus	R-HSA-5674387 		GO_0045184: establishment of protein localization,	GO_1990173: protein localization to nucleoplasm,
Biological Process	RAF-independent MAPK1/3 activation	R-HSA-112409 	GO_0000187: activation of MAPK activity,		
Molecular Function	Activated ERKs phosphorylate ERF	R-HSA-3209160 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	ERK1/2 phosphorylates MSK1	R-HSA-198756 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	MAPK3 (ERK1) and MAPK1 (ERK2) phosphorylate CEBPB	R-HSA-3857329 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	Activated ERK1/2 threonine-phosphorylates FGFR2-associated FRS2	R-HSA-5654562 	GO_0004707: MAP kinase activity,		
Molecular Function	Activated ERKs phosphorylate RUNX2	R-HSA-9009208 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	Activated ERK1/2 threonine-phosphorylates FGFR4-associated FRS2.	R-HSA-5654566 	GO_0004707: MAP kinase activity,		
Molecular Function	p-T,Y MAPKs dimerize	R-HSA-5674385 		GO_0005515: protein binding,	
Molecular Function	Dissociation of p-T,Y-MAPK3:MAP2K1	R-HSA-109863 			
Molecular Function	ERK1/2/5 activate RSK1/2/3	R-HSA-198746 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	Cytosolic DUSPs dephosphorylate MAPKs	R-HSA-5675376 	GO_0008138: protein tyrosine/serine/threonine phosphatase activity,		
Molecular Function	Nuclear DUSPs dephosphorylate MAPKs	R-HSA-5675373 	GO_0008138: protein tyrosine/serine/threonine phosphatase activity,		
Molecular Function	Activated ERK1/2 threonine-phosphorylates FGFR3-associated FRS2.	R-HSA-5654565 	GO_0004707: MAP kinase activity,		
Molecular Function	ERK1/2 activates ELK1	R-HSA-198731 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	Dissociation of RAS:RAF complex	R-HSA-5672980 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Activated ERK1/2 threonine-phosphorylates FGFR1-associated FRS2.	R-HSA-5654560 	GO_0004707: MAP kinase activity,		
Molecular Function	MAPKs phosphorylate ETS1 and ETS2	R-HSA-3132737 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	PEA15 binds MAPK monomers and dimers	R-HSA-5675206 		GO_0005515: protein binding,	
Molecular Function	Dissociation of p-T,Y-MAPK1:p-S,T-MAP2K2	R-HSA-109864 			
Complex	Activated FGFR1:p-8T-FRS2	R-HSA-5654260 			
Complex	p-ERK1/2/5 dimers	R-HSA-199878 			GO_1902554: serine/threonine protein kinase complex,
Complex	p-ERK dimer	R-HSA-1268261 			GO_1902554: serine/threonine protein kinase complex,
Complex	p-T,Y MAPK dimers	R-HSA-198701 			GO_1902554: serine/threonine protein kinase complex,
Complex	Activated FGFR2:p-8T-FRS2	R-HSA-5654281 			
Complex	p-T38-ETS1/ p-T72-ETS2	R-HSA-3132724 			
Complex	Activated FGFR4:p-8T-FRS2	R-HSA-5654322 			
Complex	RUNX2:CBFB	R-HSA-8865420 			
Complex	p-T,Y MAPK monomers and dimers:PEA15	R-HSA-5675205 			
Complex	ETS1/ETS2	R-HSA-3132719 			
Complex	Activated FGFR1:FRS2	R-HSA-5654176 			
Complex	p-T,Y-ERK2:p-S,T-MEK2	R-HSA-109854 			
Complex	p-T,Y MAPKs	R-HSA-169289 			
Complex	Activated FGFR3:FRS2	R-HSA-5654180 			
Complex	Ribosomal protein S6 kinase	R-HSA-199858 			
Complex	p21RAS:GTP:activated RAF homo/heterodimers	R-HSA-5672712 			
Complex	activated RAF:scaffold:p-2S MAP2K:p-2T MAPK complex	R-HSA-5672724 			
Complex	p-2S MAP2K homo/heterodimers	R-HSA-5672721 			
Complex	cytosolic MAPK DUSPs	R-HSA-5675365 			GO_1903293: phosphatase complex,
Complex	nuclear MAPK DUSPs	R-HSA-5675368 			GO_1903293: phosphatase complex,
Complex	p-2S-RUNX2:CBFB	R-HSA-9009233 			
Complex	Activated FGFR4:FRS2	R-HSA-5654182 			
Complex	Activated FGFR2:FRS2	R-HSA-5654178 			
Complex	Phospho-Ribosomal protein S6 kinase	R-HSA-199849 			
Complex	p-T,Y-ERK1:p-2S-MEK1	R-HSA-109843 			
Complex	Activated FGFR3:p-8T-FRS2	R-HSA-5654301 			
Biological Process	Negative regulation of FGFR3 signaling	R-HSA-5654732 			
Molecular Function	p-T,Y MAPKs dimerize	R-HSA-5674385 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	p-CBL:GRB2 binds p-FRS2:activated FGFR3	R-HSA-5654730 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	CBL ubiquitinates FRS2 and FGFR3	R-HSA-5654679 	GO_0061630: ubiquitin protein ligase activity,		
Molecular Function	Activated ERK1/2 threonine-phosphorylates FGFR3-associated FRS2.	R-HSA-5654565 	GO_0004707: MAP kinase activity,		
Molecular Function	Activated FGFR3 phosphorylates PPTN11	R-HSA-5654631 	GO_0004713: protein tyrosine kinase activity,		
Complex	Activated FGFR3:p-FRS2:p-PTPN11:p-CBL:GRB2	R-HSA-5654307 			GO_0000151: ubiquitin ligase complex,
Complex	Ub-Activated FGFR3 complex:Ub-p-FRS2	R-HSA-5654362 			
Complex	Activated FGFR3:FRS2	R-HSA-5654180 			
Complex	Activated FGFR3:p-FRS2:p-PTPN11	R-HSA-5654198 			
Complex	Activated FGFR3:p-FRS:PTPN11	R-HSA-5654310 			GO_1902911: protein kinase complex,
Complex	Ub	R-HSA-113595 			
Complex	p-ERK dimer	R-HSA-1268261 			GO_1902554: serine/threonine protein kinase complex,
Complex	p-Y371-CBL:GRB2	R-HSA-182964 			
Complex	p-T,Y MAPKs	R-HSA-169289 			
Complex	Activated FGFR3:p-FRS:p-PTPN11	R-HSA-5654312 			
Complex	Activated FGFR3:p-8T-FRS2	R-HSA-5654301 			
Biological Process	Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)	R-HSA-5619070 			
Molecular Function	Defective SLC16A1 does not cotransport monocarboxylates, H+ from extracellular region to cytosol	R-HSA-5624211 			
Biological Process	Reuptake of GABA	R-HSA-888593 			
Molecular Function	SLC6A12 (BGT-1)-mediated uptake of GABA and betaine	R-HSA-352029 	GO_0015171: amino acid transmembrane transporter activity,		
Molecular Function	GAT1-3 mediate Na+/Cl- dependent GABA transport	R-HSA-444007 	GO_0005332: gamma-aminobutyric acid:sodium symporter activity,		
Complex	SLC6A GABA transporters	R-HSA-444011 			GO_1902495: transmembrane transporter complex,
Biological Process	Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)	R-HSA-5579032 			
Molecular Function	Defective TBXAS1 does not isomerise PGH2 to TXA2	R-HSA-5603275 			
Biological Process	Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG)	R-HSA-5660686 			
Molecular Function	Variant SLC6A20 does not cotransport L-Pro, Na+ from extracellulare region to cytosol	R-HSA-5660694 			
Biological Process	Mitochondrial biogenesis	R-HSA-1592230 	GO_0007005: mitochondrion organization,		
Biological Process	Signaling by NOTCH1 in Cancer	R-HSA-2644603 			
Biological Process	Nuclear Receptor transcription pathway	R-HSA-383280 	GO_0006367: transcription initiation from RNA polymerase II promoter,		
Molecular Function	Formation of NR-MED1 Coactivator Complex	R-HSA-376419 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Complex	NR	R-HSA-376224 			
Complex	NR-MED1 Coactivator Complex	R-HSA-376420 			
Biological Process	Potassium transport channels	R-HSA-1296067 			
Molecular Function	Activation of Potassium transport channels	R-HSA-1296045 	GO_0005242: inward rectifier potassium channel activity,		
Complex	Potassium transport channels (Kir 1.1 and Kir 4.1/5.1)	R-HSA-1299206 			GO_1902937: inward rectifier potassium channel complex,
Biological Process	Metabolic disorders of biological oxidation enzymes	R-HSA-5579029 			
Biological Process	Effects of PIP2 hydrolysis	R-HSA-114508 			
Molecular Function	Activation of Rap1 by membrane-associated GEFs	R-HSA-939265 	GO_0005085: guanyl-nucleotide exchange factor activity,		GO_0005525: GTP binding,GO_0044877: protein-containing complex binding,
Molecular Function	Transport of Ca++ from platelet dense tubular system to cytoplasm	R-HSA-139854 	GO_0005262: calcium channel activity,		
Molecular Function	Activation of Rap1 by cytosolic GEFs	R-HSA-354173 	GO_0005085: guanyl-nucleotide exchange factor activity,		GO_0005525: GTP binding,GO_0044877: protein-containing complex binding,
Molecular Function	PLC gamma 2-mediated PIP2 hydrolysis	R-HSA-114689 	GO_0004629: phospholipase C activity,		
Molecular Function	DAG kinase produces phosphatidic acid from DAG	R-HSA-426240 	GO_0004143: diacylglycerol kinase activity,		
Molecular Function	Calcium binds calmodulin	R-HSA-74448 			
Molecular Function	Active PLCG1 hydrolyses PIP2	R-HSA-167686 	GO_0004435: phosphatidylinositol phospholipase C activity,		
Molecular Function	Activation of conventional Protein Kinase C	R-HSA-114553 		GO_0005515: protein binding,	GO_0001786: phosphatidylserine binding,GO_0044877: protein-containing complex binding,GO_0005509: calcium ion binding,GO_0019992: diacylglycerol binding,
Molecular Function	PLC beta-mediated PIP2 hydrolysis	R-HSA-398193 	GO_0004629: phospholipase C activity,		
Molecular Function	Binding of IP3 to IP3 receptor	R-HSA-139941 		GO_0005515: protein binding,	GO_0070679: inositol 1,4,5 trisphosphate binding,GO_0044877: protein-containing complex binding,
Molecular Function	Calcium and Diacylglycerol activate CalDAG-GEFs (RasGRPs)	R-HSA-392831 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,GO_0005509: calcium ion binding,GO_0019992: diacylglycerol binding,
Molecular Function	Activation of Protein Kinase C novel isoforms	R-HSA-425861 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,GO_0019992: diacylglycerol binding,
Molecular Function	DAG activation of TRPC channels	R-HSA-426209 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,GO_0019992: diacylglycerol binding,
Molecular Function	PLC-beta hydrolyses PIP2 to DAG and IP3	R-HSA-114688 	GO_0004629: phospholipase C activity,		
Molecular Function	Cation influx mediated by TRPC3/6/7	R-HSA-426223 	GO_0005261: cation channel activity,		
Complex	RAP1:GTP	R-HSA-354126 			
Complex	p-Y7-CLEC1B dimer:PDPN:SYK	R-HSA-5684799 			
Complex	RAP1:GDP	R-HSA-354074 			
Complex	PLC-beta:G-alpha(q/11):DAG:IP3	R-HSA-8983509 			
Complex	IP3R tetramer:I(1,4,5)P3:4xCa2+	R-HSA-139839 			GO_0034704: calcium channel complex,
Complex	Diacylglycerol kinase	R-HSA-426070 			GO_0061695: transferase complex, transferring phosphorus-containing groups,
Complex	DAG-activated TRPC3/6/7	R-HSA-426179 			GO_0034703: cation channel complex,
Complex	Protein Kinase C, conventional	R-HSA-114528 			
Complex	G-protein beta-gamma:PLC beta 1/2/3	R-HSA-398037 			GO_1902494: catalytic complex,
Complex	PLC-beta:G-alpha(q/11):PIP2	R-HSA-8983508 			
Complex	IP3R tetramer	R-HSA-418292 			
Complex	TRPC3/6/7	R-HSA-426176 			
Complex	CalDAG-GEFs	R-HSA-392488 			
Complex	Activated conventional protein kinase C	R-HSA-139830 			
Complex	CalDAG-GEFs:DAG:Ca2+	R-HSA-392841 			GO_0032045: guanyl-nucleotide exchange factor complex,
Complex	PLC beta:G alpha (q/11)	R-HSA-398158 			GO_1902494: catalytic complex,
Complex	Protein kinase C, novel isoforms	R-HSA-425850 			
Complex	Protein kinase C, novel isoforms:DAG	R-HSA-426071 			
Complex	Rap1 cAMP-GEFs	R-HSA-392485 			GO_0032045: guanyl-nucleotide exchange factor complex,
Biological Process	RHO GTPases Activate WASPs and WAVEs	R-HSA-5663213 			
Molecular Function	Activation of CDC42 by unknown mechanism	R-HSA-2029445 	GO_0005085: guanyl-nucleotide exchange factor activity,		GO_0005525: GTP binding,
Molecular Function	Activation of RAC1 by CRKII:DOCK180:ELMO	R-HSA-2029467 	GO_0005085: guanyl-nucleotide exchange factor activity,		GO_0005525: GTP binding,
Molecular Function	NCK recruits WASP	R-HSA-430180 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Branching and elongation of mother and daughter filaments	R-HSA-2029473 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Detachment of WASP/WAVE	R-HSA-2197690 		GO_0005515: protein binding,	
Molecular Function	WAVE Regulatory Complex (WRC) interacts with RAC1 and PIP3 and gets activated	R-HSA-2029465 		GO_0005515: protein binding,	GO_0005547: phosphatidylinositol-3,4,5-trisphosphate binding,GO_0044877: protein-containing complex binding,
Molecular Function	VAV exchanges GTP for GDP on RAC1, activating it	R-HSA-5218850 	GO_0005085: guanyl-nucleotide exchange factor activity,		GO_0005525: GTP binding,GO_0044877: protein-containing complex binding,
Molecular Function	Extension of pseudopodia by myosin-X in a PI3K dependent manner	R-HSA-1861595 	GO_0003774: motor activity,		
Molecular Function	DOCK180:ELMO exchanges GTP for GDP, activating RAC1	R-HSA-5218839 	GO_0005085: guanyl-nucleotide exchange factor activity,		GO_0005525: GTP binding,
Molecular Function	Attachment of preexisting mother filament and initiation of branching	R-HSA-2029466 		GO_0005515: protein binding,	
Molecular Function	WASPs or WAVEs activate the ARP2/3 complex	R-HSA-442592 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Activation of RAC1 by VAV	R-HSA-2029451 	GO_0005085: guanyl-nucleotide exchange factor activity,		GO_0005525: GTP binding,
Molecular Function	p-ERK phosphorylates WAVEs and ABI	R-HSA-2029469 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	ABL phosphorylates WAVEs	R-HSA-2130194 	GO_0004713: protein tyrosine kinase activity,		
Molecular Function	Phosphorylation of WASP/N-WASP	R-HSA-2197698 	GO_0004713: protein tyrosine kinase activity,		
